"","study.accession","experiment.accession","source_name","treatment","tissue","ercc_mix","cell.line","cell.type"
"1","SRP033351","SRX384354","airway smooth muscle cells","Dexamethasone","human airway smooth muscle cells","-","N080611","airway smooth muscle cells"
"2","SRP033351","SRX384359","airway smooth muscle cells","Albuterol","human airway smooth muscle cells","1","N061011","airway smooth muscle cells"
"3","SRP033351","SRX384352","airway smooth muscle cells","Albuterol_Dexamethasone","human airway smooth muscle cells","1","N052611","airway smooth muscle cells"
"4","SRP033351","SRX384349","airway smooth muscle cells","Untreated","human airway smooth muscle cells","-","N052611","airway smooth muscle cells"
"5","SRP033351","SRX384346","airway smooth muscle cells","Dexamethasone","human airway smooth muscle cells","-","N61311","airway smooth muscle cells"
"6","SRP033351","SRX384348","airway smooth muscle cells","Albuterol_Dexamethasone","human airway smooth muscle cells","-","N61311","airway smooth muscle cells"
"7","SRP033351","SRX384357","airway smooth muscle cells","Untreated","human airway smooth muscle cells","1","N061011","airway smooth muscle cells"
"8","SRP033351","SRX384345","airway smooth muscle cells","Untreated","human airway smooth muscle cells","-","N61311","airway smooth muscle cells"
"9","SRP033351","SRX384356","airway smooth muscle cells","Albuterol_Dexamethasone","human airway smooth muscle cells","-","N080611","airway smooth muscle cells"
"10","SRP033351","SRX384351","airway smooth muscle cells","Albuterol","human airway smooth muscle cells","1","N052611","airway smooth muscle cells"
"11","SRP033351","SRX384360","airway smooth muscle cells","Albuterol_Dexamethasone","human airway smooth muscle cells","1","N061011","airway smooth muscle cells"
"12","SRP033351","SRX384350","airway smooth muscle cells","Dexamethasone","human airway smooth muscle cells","1","N052611","airway smooth muscle cells"
"13","SRP033351","SRX384347","airway smooth muscle cells","Albuterol","human airway smooth muscle cells","-","N61311","airway smooth muscle cells"
"14","SRP033351","SRX384353","airway smooth muscle cells","Untreated","human airway smooth muscle cells","-","N080611","airway smooth muscle cells"
"15","SRP033351","SRX384355","airway smooth muscle cells","Albuterol","human airway smooth muscle cells","-","N080611","airway smooth muscle cells"
"16","SRP033351","SRX384358","airway smooth muscle cells","Dexamethasone","human airway smooth muscle cells","1","N061011","airway smooth muscle cells"
