"","study.accession","experiment.accession","source_name","cell.type","cell.type.1","disease"
"1","SRP038917","SRX475841","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"2","SRP038917","SRX475814","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"3","SRP038917","SRX475834","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"4","SRP038917","SRX475852","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"5","SRP038917","SRX475836","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"6","SRP038917","SRX475847","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"7","SRP038917","SRX475820","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"8","SRP038917","SRX475844","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"9","SRP038917","SRX475854","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"10","SRP038917","SRX475842","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"11","SRP038917","SRX475817","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"12","SRP038917","SRX475835","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"13","SRP038917","SRX475817","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"14","SRP038917","SRX475856","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"15","SRP038917","SRX475837","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"16","SRP038917","SRX475819","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"17","SRP038917","SRX475811","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"18","SRP038917","SRX475846","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"19","SRP038917","SRX475856","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"20","SRP038917","SRX475846","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"21","SRP038917","SRX475809","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"22","SRP038917","SRX475829","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"23","SRP038917","SRX475830","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"24","SRP038917","SRX475845","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"25","SRP038917","SRX475810","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"26","SRP038917","SRX475815","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"27","SRP038917","SRX475825","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"28","SRP038917","SRX475810","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"29","SRP038917","SRX475831","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"30","SRP038917","SRX475818","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"31","SRP038917","SRX475825","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"32","SRP038917","SRX475854","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"33","SRP038917","SRX475841","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"34","SRP038917","SRX475820","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"35","SRP038917","SRX475852","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"36","SRP038917","SRX475846","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"37","SRP038917","SRX475821","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"38","SRP038917","SRX475853","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"39","SRP038917","SRX475814","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"40","SRP038917","SRX475823","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"41","SRP038917","SRX475846","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"42","SRP038917","SRX475840","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"43","SRP038917","SRX475830","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"44","SRP038917","SRX475834","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"45","SRP038917","SRX475815","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"46","SRP038917","SRX475830","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"47","SRP038917","SRX475820","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"48","SRP038917","SRX475833","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"49","SRP038917","SRX475828","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"50","SRP038917","SRX475847","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"51","SRP038917","SRX475829","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"52","SRP038917","SRX475857","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"53","SRP038917","SRX475845","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"54","SRP038917","SRX475828","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
