"","study.accession","experiment.accession","source_name","disease.status","cell.type"
"1","SRP081599","SRX2018593","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"2","SRP081599","SRX2018620","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"3","SRP081599","SRX2018606","Airway Epithelial cells","Control","Airway Epithelial cells"
"4","SRP081599","SRX2018603","Airway Epithelial cells","Control","Airway Epithelial cells"
"5","SRP081599","SRX2018646","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"6","SRP081599","SRX2018661","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"7","SRP081599","SRX2018630","Airway Epithelial cells","Control","Airway Epithelial cells"
"8","SRP081599","SRX2018587","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"9","SRP081599","SRX2018659","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"10","SRP081599","SRX2018601","Airway Epithelial cells","Control","Airway Epithelial cells"
"11","SRP081599","SRX2018640","Airway Epithelial cells","Control","Airway Epithelial cells"
"12","SRP081599","SRX2018616","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"13","SRP081599","SRX2018591","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"14","SRP081599","SRX2018650","Airway Epithelial cells","Control","Airway Epithelial cells"
"15","SRP081599","SRX2018613","Airway Epithelial cells","Control","Airway Epithelial cells"
"16","SRP081599","SRX2018582","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"17","SRP081599","SRX2018590","Airway Epithelial cells","Control","Airway Epithelial cells"
"18","SRP081599","SRX2018622","Airway Epithelial cells","Control","Airway Epithelial cells"
"19","SRP081599","SRX2018600","Airway Epithelial cells","Control","Airway Epithelial cells"
"20","SRP081599","SRX2018615","Airway Epithelial cells","Control","Airway Epithelial cells"
"21","SRP081599","SRX2018633","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"22","SRP081599","SRX2018641","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"23","SRP081599","SRX2018663","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"24","SRP081599","SRX2018658","Airway Epithelial cells","Control","Airway Epithelial cells"
"25","SRP081599","SRX2018585","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"26","SRP081599","SRX2018614","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"27","SRP081599","SRX2018602","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"28","SRP081599","SRX2018619","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"29","SRP081599","SRX2018579","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"30","SRP081599","SRX2018597","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"31","SRP081599","SRX2018644","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"32","SRP081599","SRX2018631","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"33","SRP081599","SRX2018655","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"34","SRP081599","SRX2018645","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"35","SRP081599","SRX2018617","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"36","SRP081599","SRX2018637","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"37","SRP081599","SRX2018628","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"38","SRP081599","SRX2018624","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"39","SRP081599","SRX2018621","Airway Epithelial cells","Control","Airway Epithelial cells"
"40","SRP081599","SRX2018607","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"41","SRP081599","SRX2018639","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"42","SRP081599","SRX2018643","Airway Epithelial cells","Control","Airway Epithelial cells"
"43","SRP081599","SRX2018592","Airway Epithelial cells","Control","Airway Epithelial cells"
"44","SRP081599","SRX2018632","Airway Epithelial cells","Control","Airway Epithelial cells"
"45","SRP081599","SRX2018586","Airway Epithelial cells","Control","Airway Epithelial cells"
"46","SRP081599","SRX2018636","Airway Epithelial cells","Control","Airway Epithelial cells"
"47","SRP081599","SRX2018648","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"48","SRP081599","SRX2018580","Airway Epithelial cells","Control","Airway Epithelial cells"
"49","SRP081599","SRX2018657","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"50","SRP081599","SRX2018594","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"51","SRP081599","SRX2018588","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"52","SRP081599","SRX2018627","Airway Epithelial cells","Control","Airway Epithelial cells"
"53","SRP081599","SRX2018651","Airway Epithelial cells","Control","Airway Epithelial cells"
"54","SRP081599","SRX2018608","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"55","SRP081599","SRX2018581","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"56","SRP081599","SRX2018647","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"57","SRP081599","SRX2018598","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"58","SRP081599","SRX2018662","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"59","SRP081599","SRX2018618","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"60","SRP081599","SRX2018638","Airway Epithelial cells","Control","Airway Epithelial cells"
"61","SRP081599","SRX2018595","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"62","SRP081599","SRX2018654","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"63","SRP081599","SRX2018653","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"64","SRP081599","SRX2018584","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"65","SRP081599","SRX2018652","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"66","SRP081599","SRX2018605","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"67","SRP081599","SRX2018629","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"68","SRP081599","SRX2018596","Airway Epithelial cells","Control","Airway Epithelial cells"
"69","SRP081599","SRX2018642","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"70","SRP081599","SRX2018583","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"71","SRP081599","SRX2018612","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"72","SRP081599","SRX2018611","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"73","SRP081599","SRX2018626","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"74","SRP081599","SRX2018635","Airway Epithelial cells","Control","Airway Epithelial cells"
"75","SRP081599","SRX2018625","Airway Epithelial cells","Control","Airway Epithelial cells"
"76","SRP081599","SRX2018656","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"77","SRP081599","SRX2018660","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"78","SRP081599","SRX2018604","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"79","SRP081599","SRX2018589","Airway Epithelial cells","Control","Airway Epithelial cells"
"80","SRP081599","SRX2018599","Airway Epithelial cells","Control","Airway Epithelial cells"
"81","SRP081599","SRX2018610","Airway Epithelial cells","Control","Airway Epithelial cells"
"82","SRP081599","SRX2018649","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"83","SRP081599","SRX2018634","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"84","SRP081599","SRX2018609","Airway Epithelial cells","Asthma","Airway Epithelial cells"
"85","SRP081599","SRX2018623","Airway Epithelial cells","Asthma","Airway Epithelial cells"
