"","study.accession","experiment.accession","Sample.Name","cell.line","cell.type","ebv.status","kshv.status","replicate"
"1","ERP020609","ERX2088545","ERS1815579","E4-9","B cell","positive","negative","2"
"2","ERP020609","ERX2088534","ERS1815576","E4-3","B cell","positive","negative","2"
"3","ERP020609","ERX2088561","ERS1815585","EK3-11","B cell","positive","positive","2"
"4","ERP020609","ERX2088583","ERS1815593","LCL2","B cell","positive","negative","2"
"5","ERP020609","ERX2088601","ERS1815600","AP3","B cell","negative","positive","1"
"6","ERP020609","ERX2088574","ERS1815590","LCL1","B cell","positive","negative","2"
"7","ERP020609","ERX2088602","ERS1815600","AP3","B cell","negative","positive","1"
"8","ERP020609","ERX2088571","ERS1815589","LCL1","B cell","positive","negative","1"
"9","ERP020609","ERX2088606","ERS1815601","AP5","B cell","positive","positive","1"
"10","ERP020609","ERX2088590","ERS1815596","LCL3","B cell","positive","negative","2"
"11","ERP020609","ERX2088586","ERS1815594","LCL2","B cell","positive","negative","3"
"12","ERP020609","ERX2088604","ERS1815601","AP5","B cell","positive","positive","1"
"13","ERP020609","ERX2088576","ERS1815591","LCL1","B cell","positive","negative","3"
"14","ERP020609","ERX2088553","ERS1815582","EK4-11","B cell","positive","positive","2"
"15","ERP020609","ERX2088535","ERS1815576","E4-3","B cell","positive","negative","2"
"16","ERP020609","ERX2088548","ERS1815580","E4-9","B cell","positive","negative","3"
"17","ERP020609","ERX2088547","ERS1815580","E4-9","B cell","positive","negative","3"
"18","ERP020609","ERX2088542","ERS1815578","E4-9","B cell","positive","negative","1"
"19","ERP020609","ERX2088599","ERS1815599","AP2","B cell","positive","positive","1"
"20","ERP020609","ERX2088582","ERS1815593","LCL2","B cell","positive","negative","2"
"21","ERP020609","ERX2088607","ERS1815602","HBL6","B cell","positive","positive","1"
"22","ERP020609","ERX2088540","ERS1815578","E4-9","B cell","positive","negative","1"
"23","ERP020609","ERX2088567","ERS1815587","EK3-13","B cell","positive","positive","1"
