"","study.accession","experiment.accession","source_name","cell.type","cell.line","tissue","sample.type","strain"
"1","SRP014428","SRX160221","Embryonic stem cell","embryonic stem cell",NA,NA,NA,NA
"2","SRP014428","SRX160251","NG2-sorted cell from blood","NG2-sorted cell from blood of melanoma patient",NA,NA,NA,NA
"3","SRP014428","SRX160232","LNCaP cell",NA,"LNCaP",NA,NA,NA
"4","SRP014428","SRX160220","Embryonic stem cell","embryonic stem cell",NA,NA,NA,NA
"5","SRP014428","SRX160188","Brain",NA,NA,"brain",NA,NA
"6","SRP014428","SRX160169","Brain",NA,NA,"brain",NA,NA
"7","SRP014428","SRX160175","Brain",NA,NA,"brain",NA,NA
"8","SRP014428","SRX160280","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"9","SRP014428","SRX160257","Primary melanocyte","primary melanocyte",NA,NA,NA,NA
"10","SRP014428","SRX160227","Embryonic stem cell","embryonic stem cell",NA,NA,NA,NA
"11","SRP014428","SRX160273","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"12","SRP014428","SRX160267","UACC257 cell",NA,"UACC257",NA,NA,NA
"13","SRP014428","SRX160170","Brain",NA,NA,"brain",NA,NA
"14","SRP014428","SRX160230","LNCaP cell",NA,"LNCaP",NA,NA,NA
"15","SRP014428","SRX160279","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"16","SRP014428","SRX160207","Brain",NA,NA,"brain","human reference brain RNA",NA
"17","SRP014428","SRX160203","Brain",NA,NA,"brain","human reference brain RNA",NA
"18","SRP014428","SRX160177","Brain",NA,NA,"brain",NA,NA
"19","SRP014428","SRX160247","NG2-sorted cell from blood","NG2-sorted cell from blood of melanoma patient",NA,NA,NA,NA
"20","SRP014428","SRX160179","Brain",NA,NA,"brain",NA,NA
"21","SRP014428","SRX160234","LNCaP cells",NA,"LNCaP",NA,NA,NA
"22","SRP014428","SRX160182","Brain",NA,NA,"brain",NA,NA
"23","SRP014428","SRX160198","Brain",NA,NA,"brain",NA,NA
"24","SRP014428","SRX160206","Brain",NA,NA,"brain","human reference brain RNA",NA
"25","SRP014428","SRX160254","PC3 cell",NA,"PC3",NA,NA,NA
"26","SRP014428","SRX160274","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"27","SRP014428","SRX160184","Brain",NA,NA,"brain",NA,NA
"28","SRP014428","SRX160226","Embryonic stem cell","embryonic stem cell",NA,NA,NA,NA
"29","SRP014428","SRX160245","LNCaP cells",NA,"LNCaP",NA,NA,NA
"30","SRP014428","SRX160262","SKMEL5 cell",NA,"SKMEL5",NA,NA,NA
"31","SRP014428","SRX160183","Brain",NA,NA,"brain",NA,NA
"32","SRP014428","SRX160239","LNCaP cells",NA,"LNCaP",NA,NA,NA
"33","SRP014428","SRX160287","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"34","SRP014428","SRX160289","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"35","SRP014428","SRX160268","UACC257 cell",NA,"UACC257",NA,NA,NA
"36","SRP014428","SRX160283","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"37","SRP014428","SRX160210","Brain",NA,NA,"brain","human reference brain RNA",NA
"38","SRP014428","SRX160224","Embryonic stem cell","embryonic stem cell",NA,NA,NA,NA
"39","SRP014428","SRX160249","NG2-sorted cell from blood","NG2-sorted cell from blood of melanoma patient",NA,NA,NA,NA
"40","SRP014428","SRX160258","Primary melanocyte","primary melanocyte",NA,NA,NA,NA
"41","SRP014428","SRX160250","NG2-sorted cell from blood","NG2-sorted cell from blood of melanoma patient",NA,NA,NA,NA
"42","SRP014428","SRX160271","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"43","SRP014428","SRX160174","Brain",NA,NA,"brain",NA,NA
"44","SRP014428","SRX160241","LNCaP cells",NA,"LNCaP",NA,NA,NA
"45","SRP014428","SRX160270","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"46","SRP014428","SRX160237","LNCaP cells",NA,"LNCaP",NA,NA,NA
"47","SRP014428","SRX160192","Brain",NA,NA,"brain",NA,NA
"48","SRP014428","SRX160214","Brain",NA,NA,"brain","human reference brain RNA",NA
"49","SRP014428","SRX160246","LNCaP cells",NA,"LNCaP",NA,NA,NA
"50","SRP014428","SRX160288","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"51","SRP014428","SRX160213","Brain",NA,NA,"brain","human reference brain RNA",NA
"52","SRP014428","SRX160261","SKMEL5 cell",NA,"SKMEL5",NA,NA,NA
"53","SRP014428","SRX160178","Brain",NA,NA,"brain",NA,NA
