"","study.accession","experiment.accession","source_name","tissue","tissue.archive.method","subtypes"
"1","SRP019994","SRX255099","Leiomyosarcoma","Soft Tissue","FFPE","Not assigned"
"2","SRP019994","SRX255171","Leiomyosarcoma","Soft Tissue","FFPE","III"
"3","SRP019994","SRX255169","Leiomyosarcoma","Soft Tissue","FFPE","II"
"4","SRP019994","SRX255112","Leiomyosarcoma","Soft Tissue","FFPE","I"
"5","SRP019994","SRX255104","Leiomyosarcoma","Soft Tissue","FFPE","III"
"6","SRP019994","SRX255163","Leiomyosarcoma","Soft Tissue","FFPE","I"
"7","SRP019994","SRX255087","Leiomyosarcoma","Soft Tissue","FFPE","III"
"8","SRP019994","SRX255103","Leiomyosarcoma","Soft Tissue","FFPE","I"
"9","SRP019994","SRX255151","Leiomyosarcoma","Soft Tissue","FFPE","III"
"10","SRP019994","SRX255166","Leiomyosarcoma","Soft Tissue","FFPE","II"
"11","SRP019994","SRX255093","Leiomyosarcoma","Soft Tissue","FFPE","II"
"12","SRP019994","SRX255129","Leiomyosarcoma","Soft Tissue","FFPE","II"
"13","SRP019994","SRX255083","Leiomyosarcoma","Soft Tissue","FFPE","I"
"14","SRP019994","SRX255168","Leiomyosarcoma","Soft Tissue","FFPE","III"
"15","SRP019994","SRX255152","Leiomyosarcoma","Soft Tissue","FFPE","III"
"16","SRP019994","SRX255097","Leiomyosarcoma","Soft Tissue","FFPE","Not assigned"
"17","SRP019994","SRX255139","Leiomyosarcoma","Soft Tissue","FFPE","III"
"18","SRP019994","SRX255108","Leiomyosarcoma","Soft Tissue","FFPE","I"
"19","SRP019994","SRX255082","Leiomyosarcoma","Soft Tissue","FFPE","II"
"20","SRP019994","SRX255125","Leiomyosarcoma","Soft Tissue","FFPE","II"
"21","SRP019994","SRX255098","Leiomyosarcoma","Soft Tissue","FFPE","II"
"22","SRP019994","SRX255078","Leiomyosarcoma","Soft Tissue","FFPE","I"
"23","SRP019994","SRX255130","Leiomyosarcoma","Soft Tissue","FFPE","II"
"24","SRP019994","SRX255092","Leiomyosarcoma","Soft Tissue","FFPE","III"
"25","SRP019994","SRX255136","Leiomyosarcoma","Soft Tissue","FFPE","I"
"26","SRP019994","SRX255115","Leiomyosarcoma","Soft Tissue","FFPE","III"
"27","SRP019994","SRX255123","Leiomyosarcoma","Soft Tissue","FFPE","I"
"28","SRP019994","SRX255109","Leiomyosarcoma","Soft Tissue","FFPE","I"
"29","SRP019994","SRX255126","Leiomyosarcoma","Soft Tissue","FFPE","I"
"30","SRP019994","SRX255084","Leiomyosarcoma","Soft Tissue","FFPE","I"
"31","SRP019994","SRX255122","Leiomyosarcoma","Soft Tissue","FFPE","I"
"32","SRP019994","SRX255114","Leiomyosarcoma","Soft Tissue","FFPE","III"
"33","SRP019994","SRX255119","Leiomyosarcoma","Soft Tissue","FFPE","I"
"34","SRP019994","SRX255094","Leiomyosarcoma","Soft Tissue","FFPE","II"
"35","SRP019994","SRX255143","Leiomyosarcoma","Soft Tissue","FFPE","II"
"36","SRP019994","SRX255170","Leiomyosarcoma","Soft Tissue","FFPE","II"
"37","SRP019994","SRX255088","Leiomyosarcoma","Soft Tissue","FFPE","II"
"38","SRP019994","SRX255101","Leiomyosarcoma","Soft Tissue","FFPE","II"
"39","SRP019994","SRX255124","Leiomyosarcoma","Soft Tissue","FFPE","II"
"40","SRP019994","SRX255135","Leiomyosarcoma","Soft Tissue","FFPE","I"
"41","SRP019994","SRX255106","Leiomyosarcoma","Soft Tissue","FFPE","II"
"42","SRP019994","SRX255128","Leiomyosarcoma","Soft Tissue","FFPE","I"
"43","SRP019994","SRX255140","Leiomyosarcoma","Soft Tissue","FFPE","II"
"44","SRP019994","SRX255073","Leiomyosarcoma","Soft Tissue","FFPE","I"
"45","SRP019994","SRX255159","Leiomyosarcoma","Soft Tissue","FFPE","III"
"46","SRP019994","SRX255165","Leiomyosarcoma","Soft Tissue","FFPE","I"
"47","SRP019994","SRX255096","Leiomyosarcoma","Soft Tissue","FFPE","II"
"48","SRP019994","SRX255144","Leiomyosarcoma","Soft Tissue","FFPE","III"
"49","SRP019994","SRX255153","Leiomyosarcoma","Soft Tissue","FFPE","II"
"50","SRP019994","SRX255127","Leiomyosarcoma","Soft Tissue","FFPE","I"
"51","SRP019994","SRX255147","Leiomyosarcoma","Soft Tissue","FFPE","III"
"52","SRP019994","SRX255077","Leiomyosarcoma","Soft Tissue","FFPE","I"
"53","SRP019994","SRX255141","Leiomyosarcoma","Soft Tissue","FFPE","II"
"54","SRP019994","SRX255107","Leiomyosarcoma","Soft Tissue","FFPE","III"
"55","SRP019994","SRX255138","Leiomyosarcoma","Soft Tissue","FFPE","Not assigned"
"56","SRP019994","SRX255081","Leiomyosarcoma","Soft Tissue","FFPE","II"
"57","SRP019994","SRX255079","Leiomyosarcoma","Soft Tissue","FFPE","II"
"58","SRP019994","SRX255089","Leiomyosarcoma","Soft Tissue","FFPE","III"
"59","SRP019994","SRX255133","Leiomyosarcoma","Soft Tissue","FFPE","II"
"60","SRP019994","SRX255154","Leiomyosarcoma","Soft Tissue","FFPE","III"
"61","SRP019994","SRX255100","Leiomyosarcoma","Soft Tissue","FFPE","III"
"62","SRP019994","SRX255142","Leiomyosarcoma","Soft Tissue","FFPE","Not assigned"
"63","SRP019994","SRX255160","Leiomyosarcoma","Soft Tissue","FFPE","III"
"64","SRP019994","SRX255086","Leiomyosarcoma","Soft Tissue","FFPE","III"
"65","SRP019994","SRX255148","Leiomyosarcoma","Soft Tissue","FFPE","I"
"66","SRP019994","SRX255085","Leiomyosarcoma","Soft Tissue","FFPE","III"
"67","SRP019994","SRX255132","Leiomyosarcoma","Soft Tissue","FFPE","II"
"68","SRP019994","SRX255157","Leiomyosarcoma","Soft Tissue","FFPE","II"
"69","SRP019994","SRX255121","Leiomyosarcoma","Soft Tissue","FFPE","I"
"70","SRP019994","SRX255076","Leiomyosarcoma","Soft Tissue","FFPE","I"
"71","SRP019994","SRX255145","Leiomyosarcoma","Soft Tissue","FFPE","III"
"72","SRP019994","SRX255075","Leiomyosarcoma","Soft Tissue","FFPE","I"
"73","SRP019994","SRX255162","Leiomyosarcoma","Soft Tissue","FFPE","I"
"74","SRP019994","SRX255118","Leiomyosarcoma","Soft Tissue","FFPE","III"
"75","SRP019994","SRX255091","Leiomyosarcoma","Soft Tissue","FFPE","I"
"76","SRP019994","SRX255164","Leiomyosarcoma","Soft Tissue","FFPE","I"
"77","SRP019994","SRX255155","Leiomyosarcoma","Soft Tissue","FFPE","II"
"78","SRP019994","SRX255150","Leiomyosarcoma","Soft Tissue","FFPE","III"
"79","SRP019994","SRX255074","Leiomyosarcoma","Soft Tissue","FFPE","II"
"80","SRP019994","SRX255131","Leiomyosarcoma","Soft Tissue","FFPE","I"
"81","SRP019994","SRX255146","Leiomyosarcoma","Soft Tissue","FFPE","III"
"82","SRP019994","SRX255102","Leiomyosarcoma","Soft Tissue","FFPE","II"
"83","SRP019994","SRX255158","Leiomyosarcoma","Soft Tissue","FFPE","III"
"84","SRP019994","SRX255095","Leiomyosarcoma","Soft Tissue","FFPE","II"
"85","SRP019994","SRX255105","Leiomyosarcoma","Soft Tissue","FFPE","II"
"86","SRP019994","SRX255120","Leiomyosarcoma","Soft Tissue","FFPE","II"
"87","SRP019994","SRX255156","Leiomyosarcoma","Soft Tissue","FFPE","II"
"88","SRP019994","SRX255161","Leiomyosarcoma","Soft Tissue","FFPE","II"
"89","SRP019994","SRX255113","Leiomyosarcoma","Soft Tissue","FFPE","I"
"90","SRP019994","SRX255090","Leiomyosarcoma","Soft Tissue","FFPE","II"
"91","SRP019994","SRX255110","Leiomyosarcoma","Soft Tissue","FFPE","II"
"92","SRP019994","SRX255149","Leiomyosarcoma","Soft Tissue","FFPE","III"
"93","SRP019994","SRX255134","Leiomyosarcoma","Soft Tissue","FFPE","I"
"94","SRP019994","SRX255111","Leiomyosarcoma","Soft Tissue","FFPE","I"
"95","SRP019994","SRX255137","Leiomyosarcoma","Soft Tissue","FFPE","I"
"96","SRP019994","SRX255117","Leiomyosarcoma","Soft Tissue","FFPE","II"
"97","SRP019994","SRX255116","Leiomyosarcoma","Soft Tissue","FFPE","II"
"98","SRP019994","SRX255167","Leiomyosarcoma","Soft Tissue","FFPE","II"
"99","SRP019994","SRX255080","Leiomyosarcoma","Soft Tissue","FFPE","II"
