"","study.accession","experiment.accession","source_name","cell.line","cell.type","subtype"
"1","SRP026537","SRX317721","breast cancer cell line","HCC38","breast cancer","Claudin-low"
"2","SRP026537","SRX317719","breast cancer cell line","HCC2218","breast cancer","Luminal"
"3","SRP026537","SRX317696","breast cancer cell line","21MT1","breast cancer","Basal"
"4","SRP026537","SRX317720","breast cancer cell line","HCC3153","breast cancer","Basal"
"5","SRP026537","SRX317725","breast cancer cell line","LY2","breast cancer","Luminal"
"6","SRP026537","SRX317733","breast cancer cell line","MDAMB231","breast cancer","Claudin-low"
"7","SRP026537","SRX317731","breast cancer cell line","MDAMB134VI","breast cancer","Luminal"
"8","SRP026537","SRX317738","breast cancer cell line","SUM149PT","breast cancer","Basal"
"9","SRP026537","SRX317743","breast cancer cell line","T47D","breast cancer","Luminal"
"10","SRP026537","SRX317698","breast cancer cell line","21NT","breast cancer","Basal"
"11","SRP026537","SRX317744","breast cancer cell line","T47D Kbluc","breast cancer","unknown"
"12","SRP026537","SRX539971","breast cancer cell line","MDAMB453","breast cancer cell line","Luminal"
"13","SRP026537","SRX317710","breast cancer cell line","HCC1395","breast cancer","Claudin-low"
"14","SRP026537","SRX317716","breast cancer cell line","HCC1937","breast cancer","Basal"
"15","SRP026537","SRX317699","breast cancer cell line","21PT","breast cancer","Basal"
"16","SRP026537","SRX317704","breast cancer cell line","BT549","breast cancer","Claudin-low"
"17","SRP026537","SRX317703","breast cancer cell line","BT483","breast cancer","Luminal"
"18","SRP026537","SRX317722","breast cancer cell line","HCC70","breast cancer","Basal"
"19","SRP026537","SRX317736","breast cancer cell line","SKBR3","breast cancer","Luminal"
"20","SRP026537","SRX317709","breast cancer cell line","HCC1143","breast cancer","Basal"
"21","SRP026537","SRX317748","breast cancer cell line","ZR7530","breast cancer","Luminal"
"22","SRP026537","SRX317708","breast cancer cell line","EFM192C","breast cancer","Luminal"
"23","SRP026537","SRX317715","breast cancer cell line","HCC1806","breast cancer","Basal"
"24","SRP026537","SRX317701","breast cancer cell line","AU565","breast cancer","Luminal"
"25","SRP026537","SRX317738","breast cancer cell line","SUM149PT","breast cancer","Basal"
"26","SRP026537","SRX317711","breast cancer cell line","HCC1419","breast cancer","Luminal"
"27","SRP026537","SRX317700","breast cancer cell line","600MPE","breast cancer","Luminal"
"28","SRP026537","SRX317707","breast cancer cell line","EFM192B","breast cancer","Luminal"
"29","SRP026537","SRX317740","breast cancer cell line","SUM225CWN","breast cancer","Luminal"
"30","SRP026537","SRX317730","breast cancer cell line","MCF7","breast cancer","Luminal"
"31","SRP026537","SRX317742","breast cancer cell line","SUM52PE","breast cancer","Luminal"
"32","SRP026537","SRX317719","breast cancer cell line","HCC2218","breast cancer","Luminal"
"33","SRP026537","SRX317729","breast cancer cell line","MCF12A","breast cancer","Non-malignant"
"34","SRP026537","SRX317723","breast cancer cell line","HS578T","breast cancer","Claudin-low"
"35","SRP026537","SRX317746","breast cancer cell line","UACC893","breast cancer","Luminal"
"36","SRP026537","SRX317729","breast cancer cell line","MCF12A","breast cancer","Non-malignant"
"37","SRP026537","SRX317697","breast cancer cell line","21MT2","breast cancer","Basal"
"38","SRP026537","SRX317712","breast cancer cell line","HCC1428","breast cancer","Luminal"
"39","SRP026537","SRX317732","breast cancer cell line","MDAMB175","breast cancer","Luminal"
"40","SRP026537","SRX317717","breast cancer cell line","HCC1954","breast cancer","Basal"
"41","SRP026537","SRX317737","breast cancer cell line","SUM1315","breast cancer","Claudin-low"
"42","SRP026537","SRX317727","breast cancer cell line","MCF10A","breast cancer","Non-malignant"
"43","SRP026537","SRX317694","breast cancer cell line","184A1","breast cancer","Non-malignant"
"44","SRP026537","SRX317745","breast cancer cell line","UACC812","breast cancer","Luminal"
"45","SRP026537","SRX317745","breast cancer cell line","UACC812","breast cancer","Luminal"
"46","SRP026537","SRX317734","breast cancer cell line","MDAMB361","breast cancer","Luminal"
"47","SRP026537","SRX317713","breast cancer cell line","HCC1569","breast cancer","Basal"
"48","SRP026537","SRX317702","breast cancer cell line","BT474","breast cancer","Luminal"
"49","SRP026537","SRX317695","breast cancer cell line","184B5","breast cancer","Non-malignant"
"50","SRP026537","SRX317741","breast cancer cell line","SUM229PE","breast cancer","unknown"
"51","SRP026537","SRX317747","breast cancer cell line","ZR751","breast cancer","Luminal"
"52","SRP026537","SRX317737","breast cancer cell line","SUM1315","breast cancer","Claudin-low"
"53","SRP026537","SRX317728","breast cancer cell line","MCF10F","breast cancer","Non-malignant"
"54","SRP026537","SRX317726","breast cancer cell line","MB157","breast cancer","unknown"
"55","SRP026537","SRX317706","breast cancer cell line","EFM192A","breast cancer","Luminal"
"56","SRP026537","SRX317714","breast cancer cell line","HCC1599","breast cancer","Basal"
"57","SRP026537","SRX317724","breast cancer cell line","JIMT1","breast cancer","Basal"
"58","SRP026537","SRX317718","breast cancer cell line","HCC202","breast cancer","Luminal"
"59","SRP026537","SRX317740","breast cancer cell line","SUM225CWN","breast cancer","Luminal"
"60","SRP026537","SRX317735","breast cancer cell line","MX1","breast cancer","unknown"
"61","SRP026537","SRX317719","breast cancer cell line","HCC2218","breast cancer","Luminal"
"62","SRP026537","SRX317705","breast cancer cell line","CAMA1","breast cancer","Luminal"
"63","SRP026537","SRX317749","breast cancer cell line","ZR75B","breast cancer","Luminal"
"64","SRP026537","SRX317746","breast cancer cell line","UACC893","breast cancer","Luminal"
