"","study.accession","experiment.accession","source_name","gender","cell.type"
"1","SRP028291","SRX328582","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"2","SRP028291","SRX328560","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"3","SRP028291","SRX328563","Adrenocortical adenoma","F","Adrenocortical adenoma"
"4","SRP028291","SRX328535","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"5","SRP028291","SRX328527","Adrenocortical adenoma","F","Adrenocortical adenoma"
"6","SRP028291","SRX328521","Adrenocortical adenoma","F","Adrenocortical adenoma"
"7","SRP028291","SRX328570","Adrenocortical adenoma","M","Adrenocortical adenoma"
"8","SRP028291","SRX328532","Adrenocortical adenoma","F","Adrenocortical adenoma"
"9","SRP028291","SRX328561","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"10","SRP028291","SRX328534","Normal adrenal tissue","F","Normal adrenal"
"11","SRP028291","SRX328542","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"12","SRP028291","SRX328506","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"13","SRP028291","SRX328553","Adrenocortical adenoma","F","Adrenocortical adenoma"
"14","SRP028291","SRX328552","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"15","SRP028291","SRX328550","Adrenocortical adenoma","F","Adrenocortical adenoma"
"16","SRP028291","SRX328579","Adrenocortical adenoma","F","Adrenocortical adenoma"
"17","SRP028291","SRX328505","Adrenocortical adenoma","F","Adrenocortical adenoma"
"18","SRP028291","SRX328580","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"19","SRP028291","SRX328577","Adrenocortical carcinoma","M","Adrenocortical carcinoma"
"20","SRP028291","SRX328568","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"21","SRP028291","SRX328513","Adrenocortical carcinoma","M","Adrenocortical carcinoma"
"22","SRP028291","SRX328524","Adrenocortical adenoma","F","Adrenocortical adenoma"
"23","SRP028291","SRX328537","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"24","SRP028291","SRX328576","Adrenocortical carcinoma","M","Adrenocortical carcinoma"
"25","SRP028291","SRX328509","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"26","SRP028291","SRX328551","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"27","SRP028291","SRX328565","Adrenocortical adenoma","F","Adrenocortical adenoma"
"28","SRP028291","SRX328526","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"29","SRP028291","SRX328575","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"30","SRP028291","SRX328516","Adrenocortical carcinoma","M","Adrenocortical carcinoma"
"31","SRP028291","SRX328546","Adrenocortical adenoma","F","Adrenocortical adenoma"
"32","SRP028291","SRX328530","Adrenocortical carcinoma","M","Adrenocortical carcinoma"
"33","SRP028291","SRX328517","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"34","SRP028291","SRX328556","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"35","SRP028291","SRX328548","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"36","SRP028291","SRX328549","Adrenocortical adenoma","F","Adrenocortical adenoma"
"37","SRP028291","SRX328554","Adrenocortical adenoma","F","Adrenocortical adenoma"
"38","SRP028291","SRX328574","Adrenocortical adenoma","F","Adrenocortical adenoma"
"39","SRP028291","SRX328520","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"40","SRP028291","SRX328564","Adrenocortical adenoma","F","Adrenocortical adenoma"
"41","SRP028291","SRX328528","Normal adrenal tissue","F","Normal adrenal"
"42","SRP028291","SRX328544","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"43","SRP028291","SRX328581","Adrenocortical adenoma","F","Adrenocortical adenoma"
"44","SRP028291","SRX328514","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"45","SRP028291","SRX328567","Adrenocortical adenoma","F","Adrenocortical adenoma"
"46","SRP028291","SRX328557","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"47","SRP028291","SRX328511","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"48","SRP028291","SRX328531","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"49","SRP028291","SRX328578","Adrenocortical adenoma","F","Adrenocortical adenoma"
"50","SRP028291","SRX328538","Adrenocortical carcinoma","M","Adrenocortical carcinoma"
"51","SRP028291","SRX328545","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"52","SRP028291","SRX328569","Adrenocortical adenoma","F","Adrenocortical adenoma"
"53","SRP028291","SRX328541","Adrenocortical adenoma","F","Adrenocortical adenoma"
"54","SRP028291","SRX328508","Adrenocortical adenoma","F","Adrenocortical adenoma"
"55","SRP028291","SRX328572","Adrenocortical adenoma","F","Adrenocortical adenoma"
"56","SRP028291","SRX328547","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
"57","SRP028291","SRX328533","Adrenocortical carcinoma","F","Adrenocortical carcinoma"
