"","study.accession","experiment.accession","source_name","disease.status"
"1","SRP045225","SRX669033","tumor","small cell lung cancer"
"2","SRP045225","SRX669026","normal","healthy"
"3","SRP045225","SRX669101","tumor","small cell lung cancer"
"4","SRP045225","SRX669096","tumor","small cell lung cancer"
"5","SRP045225","SRX669039","tumor","small cell lung cancer"
"6","SRP045225","SRX669102","tumor","small cell lung cancer"
"7","SRP045225","SRX669041","tumor","small cell lung cancer"
"8","SRP045225","SRX669046","tumor","small cell lung cancer"
"9","SRP045225","SRX669088","tumor","small cell lung cancer"
"10","SRP045225","SRX669082","tumor","small cell lung cancer"
"11","SRP045225","SRX669070","tumor","small cell lung cancer"
"12","SRP045225","SRX669056","tumor","small cell lung cancer"
"13","SRP045225","SRX669032","tumor","small cell lung cancer"
"14","SRP045225","SRX669103","tumor","small cell lung cancer"
"15","SRP045225","SRX669027","tumor","small cell lung cancer"
"16","SRP045225","SRX669047","tumor","small cell lung cancer"
"17","SRP045225","SRX669087","tumor","small cell lung cancer"
"18","SRP045225","SRX669055","tumor","small cell lung cancer"
"19","SRP045225","SRX669066","tumor","small cell lung cancer"
"20","SRP045225","SRX669064","tumor","small cell lung cancer"
"21","SRP045225","SRX669045","tumor","small cell lung cancer"
"22","SRP045225","SRX669048","tumor","small cell lung cancer"
"23","SRP045225","SRX669104","tumor","small cell lung cancer"
"24","SRP045225","SRX669077","tumor","small cell lung cancer"
"25","SRP045225","SRX669084","tumor","small cell lung cancer"
"26","SRP045225","SRX669031","tumor","small cell lung cancer"
"27","SRP045225","SRX669029","tumor","small cell lung cancer"
"28","SRP045225","SRX669060","tumor","small cell lung cancer"
"29","SRP045225","SRX669067","tumor","small cell lung cancer"
"30","SRP045225","SRX669065","tumor","small cell lung cancer"
"31","SRP045225","SRX669022","normal","healthy"
"32","SRP045225","SRX669042","tumor","small cell lung cancer"
"33","SRP045225","SRX669062","tumor","small cell lung cancer"
"34","SRP045225","SRX669059","tumor","small cell lung cancer"
"35","SRP045225","SRX669072","tumor","small cell lung cancer"
"36","SRP045225","SRX669020","normal","healthy"
"37","SRP045225","SRX669023","normal","healthy"
"38","SRP045225","SRX669025","normal","healthy"
"39","SRP045225","SRX669089","tumor","small cell lung cancer"
"40","SRP045225","SRX669071","tumor","small cell lung cancer"
"41","SRP045225","SRX669097","tumor","small cell lung cancer"
"42","SRP045225","SRX669086","tumor","small cell lung cancer"
"43","SRP045225","SRX669099","tumor","small cell lung cancer"
"44","SRP045225","SRX669052","tumor","small cell lung cancer"
"45","SRP045225","SRX669061","tumor","small cell lung cancer"
"46","SRP045225","SRX669080","tumor","small cell lung cancer"
"47","SRP045225","SRX669081","tumor","small cell lung cancer"
"48","SRP045225","SRX669085","tumor","small cell lung cancer"
"49","SRP045225","SRX669034","tumor","small cell lung cancer"
"50","SRP045225","SRX669035","tumor","small cell lung cancer"
"51","SRP045225","SRX669051","tumor","small cell lung cancer"
"52","SRP045225","SRX669057","tumor","small cell lung cancer"
"53","SRP045225","SRX669038","tumor","small cell lung cancer"
"54","SRP045225","SRX669098","tumor","small cell lung cancer"
"55","SRP045225","SRX669078","tumor","small cell lung cancer"
"56","SRP045225","SRX669092","tumor","small cell lung cancer"
"57","SRP045225","SRX669073","tumor","small cell lung cancer"
"58","SRP045225","SRX669024","normal","healthy"
"59","SRP045225","SRX669053","tumor","small cell lung cancer"
"60","SRP045225","SRX669083","tumor","small cell lung cancer"
"61","SRP045225","SRX669040","tumor","small cell lung cancer"
"62","SRP045225","SRX669030","tumor","small cell lung cancer"
"63","SRP045225","SRX669079","tumor","small cell lung cancer"
"64","SRP045225","SRX669044","tumor","small cell lung cancer"
"65","SRP045225","SRX669076","tumor","small cell lung cancer"
"66","SRP045225","SRX669058","tumor","small cell lung cancer"
"67","SRP045225","SRX669054","tumor","small cell lung cancer"
"68","SRP045225","SRX669094","tumor","small cell lung cancer"
"69","SRP045225","SRX669095","tumor","small cell lung cancer"
"70","SRP045225","SRX669093","tumor","small cell lung cancer"
"71","SRP045225","SRX669075","tumor","small cell lung cancer"
"72","SRP045225","SRX669090","tumor","small cell lung cancer"
"73","SRP045225","SRX669074","tumor","small cell lung cancer"
"74","SRP045225","SRX669063","tumor","small cell lung cancer"
"75","SRP045225","SRX669069","tumor","small cell lung cancer"
"76","SRP045225","SRX669036","tumor","small cell lung cancer"
"77","SRP045225","SRX669028","tumor","small cell lung cancer"
"78","SRP045225","SRX669105","tumor","small cell lung cancer"
"79","SRP045225","SRX669068","tumor","small cell lung cancer"
"80","SRP045225","SRX669021","normal","healthy"
"81","SRP045225","SRX669100","tumor","small cell lung cancer"
"82","SRP045225","SRX669037","tumor","small cell lung cancer"
"83","SRP045225","SRX669050","tumor","small cell lung cancer"
"84","SRP045225","SRX669091","tumor","small cell lung cancer"
"85","SRP045225","SRX669049","tumor","small cell lung cancer"
"86","SRP045225","SRX669043","tumor","small cell lung cancer"
