"","study.accession","experiment.accession","source_name","cell.type"
"1","SRP059035","SRX1047593","PDX, LC-MBT-15","PDX"
"2","SRP059035","SRX1047517","PDX, LC-PT-45-Re","PDX"
"3","SRP059035","SRX1047572","PDX, LC-MBT-15","PDX"
"4","SRP059035","SRX1047500","PDX, LC-PT-45","PDX"
"5","SRP059035","SRX1047435","human lung cancer cell line","H358"
"6","SRP059035","SRX1047494","PDX, LC-PT-45","PDX"
"7","SRP059035","SRX1047589","PDX, LC-MBT-15","PDX"
"8","SRP059035","SRX1047585","PDX, LC-MBT-15","PDX"
"9","SRP059035","SRX1047580","PDX, LC-MBT-15","PDX"
"10","SRP059035","SRX1047505","PDX, LC-PT-45","PDX"
"11","SRP059035","SRX1047427","human lung cancer cell line","H358"
"12","SRP059035","SRX1047432","human lung cancer cell line","H358"
"13","SRP059035","SRX1047613","PDX, LC-MBT-15","PDX"
"14","SRP059035","SRX1047573","PDX, LC-MBT-15","PDX"
"15","SRP059035","SRX1047458","human lung cancer cell line","H358"
"16","SRP059035","SRX1047486","PDX, LC-PT-45","PDX"
"17","SRP059035","SRX1047586","PDX, LC-MBT-15","PDX"
"18","SRP059035","SRX1047490","PDX, LC-PT-45","PDX"
"19","SRP059035","SRX1047540","PDX, LC-PT-45-Re","PDX"
"20","SRP059035","SRX1047606","PDX, LC-MBT-15","PDX"
"21","SRP059035","SRX1047497","PDX, LC-PT-45","PDX"
"22","SRP059035","SRX1047430","human lung cancer cell line","H358"
"23","SRP059035","SRX1047479","PDX, LC-PT-45","PDX"
"24","SRP059035","SRX1047436","human lung cancer cell line","H358"
"25","SRP059035","SRX1047469","human lung cancer cell line","H358"
"26","SRP059035","SRX1047519","PDX, LC-PT-45-Re","PDX"
"27","SRP059035","SRX1047543","PDX, LC-PT-45-Re","PDX"
"28","SRP059035","SRX1047529","PDX, LC-PT-45-Re","PDX"
"29","SRP059035","SRX1047496","PDX, LC-PT-45","PDX"
"30","SRP059035","SRX1047452","human lung cancer cell line","H358"
"31","SRP059035","SRX1047545","PDX, LC-PT-45-Re","PDX"
"32","SRP059035","SRX1047605","PDX, LC-MBT-15","PDX"
"33","SRP059035","SRX1047506","PDX, LC-PT-45","PDX"
"34","SRP059035","SRX1047464","human lung cancer cell line","H358"
"35","SRP059035","SRX1047619","PDX, LC-PT-45","PDX"
"36","SRP059035","SRX1047623","primary tumor, LC-PT-45","primary tumor"
"37","SRP059035","SRX1047566","PDX, LC-MBT-15","PDX"
"38","SRP059035","SRX1047609","PDX, LC-MBT-15","PDX"
"39","SRP059035","SRX1047550","PDX, LC-PT-45-Re","PDX"
"40","SRP059035","SRX1047484","PDX, LC-PT-45","PDX"
"41","SRP059035","SRX1047562","PDX, LC-MBT-15","PDX"
"42","SRP059035","SRX1047451","human lung cancer cell line","H358"
"43","SRP059035","SRX1047525","PDX, LC-PT-45-Re","PDX"
"44","SRP059035","SRX1047597","PDX, LC-MBT-15","PDX"
"45","SRP059035","SRX1047493","PDX, LC-PT-45","PDX"
"46","SRP059035","SRX1047547","PDX, LC-PT-45-Re","PDX"
"47","SRP059035","SRX1047459","human lung cancer cell line","H358"
"48","SRP059035","SRX1047468","human lung cancer cell line","H358"
"49","SRP059035","SRX1047520","PDX, LC-PT-45-Re","PDX"
"50","SRP059035","SRX1047571","PDX, LC-MBT-15","PDX"
"51","SRP059035","SRX1047424","human lung cancer cell line","H358"
"52","SRP059035","SRX1047456","human lung cancer cell line","H358"
"53","SRP059035","SRX1047607","PDX, LC-MBT-15","PDX"
"54","SRP059035","SRX1047499","PDX, LC-PT-45","PDX"
"55","SRP059035","SRX1047448","human lung cancer cell line","H358"
"56","SRP059035","SRX1047570","PDX, LC-MBT-15","PDX"
"57","SRP059035","SRX1047467","human lung cancer cell line","H358"
"58","SRP059035","SRX1047553","PDX, LC-PT-45-Re","PDX"
"59","SRP059035","SRX1047423","human lung cancer cell line","H358"
"60","SRP059035","SRX1047534","PDX, LC-PT-45-Re","PDX"
"61","SRP059035","SRX1047626","primary tumor, LC-MBT-15","primary tumor"
"62","SRP059035","SRX1047509","PDX, LC-PT-45","PDX"
"63","SRP059035","SRX1047532","PDX, LC-PT-45-Re","PDX"
"64","SRP059035","SRX1047565","PDX, LC-MBT-15","PDX"
