"","study.accession","experiment.accession","source_name","cell.type","cell.source"
"1","SRP063840","SRX1253740","PDX, primary RCC_36","primary renal cell carcinoma","patient-derived xenograft"
"2","SRP063840","SRX1253680","PDX, metastatic RCC_13","metastatic renal cell carcinoma","patient-derived xenograft"
"3","SRP063840","SRX1253706","PDX, primary RCC_2","primary renal cell carcinoma","patient-derived xenograft"
"4","SRP063840","SRX1253725","PDX, primary RCC_21","primary renal cell carcinoma","patient-derived xenograft"
"5","SRP063840","SRX1253753","patient, metastatic RCC_1","metastatic renal cell carcinoma","patient"
"6","SRP063840","SRX1253754","patient, metastatic RCC_2","metastatic renal cell carcinoma","patient"
"7","SRP063840","SRX1253735","PDX, primary RCC_31","primary renal cell carcinoma","patient-derived xenograft"
"8","SRP063840","SRX1253766","patient, metastatic RCC_14","metastatic renal cell carcinoma","patient"
"9","SRP063840","SRX1253709","PDX, primary RCC_5","primary renal cell carcinoma","patient-derived xenograft"
"10","SRP063840","SRX1253758","patient, metastatic RCC_6","metastatic renal cell carcinoma","patient"
"11","SRP063840","SRX1253768","patient, metastatic RCC_16","metastatic renal cell carcinoma","patient"
"12","SRP063840","SRX1253757","patient, metastatic RCC_5","metastatic renal cell carcinoma","patient"
"13","SRP063840","SRX1253688","PDX, metastatic RCC_21","metastatic renal cell carcinoma","patient-derived xenograft"
"14","SRP063840","SRX1253785","patient, metastatic RCC_33","metastatic renal cell carcinoma","patient"
"15","SRP063840","SRX1253676","PDX, metastatic RCC_9","metastatic renal cell carcinoma","patient-derived xenograft"
"16","SRP063840","SRX1253760","patient, metastatic RCC_8","metastatic renal cell carcinoma","patient"
"17","SRP063840","SRX1253674","PDX, metastatic RCC_7","metastatic renal cell carcinoma","patient-derived xenograft"
"18","SRP063840","SRX1253707","PDX, primary RCC_3","primary renal cell carcinoma","patient-derived xenograft"
"19","SRP063840","SRX1253776","patient, metastatic RCC_24","metastatic renal cell carcinoma","patient"
"20","SRP063840","SRX1253783","patient, metastatic RCC_31","metastatic renal cell carcinoma","patient"
"21","SRP063840","SRX1253763","patient, metastatic RCC_11","metastatic renal cell carcinoma","patient"
"22","SRP063840","SRX1253752","PDX, primary RCC_48","primary renal cell carcinoma","patient-derived xenograft"
"23","SRP063840","SRX1253745","PDX, primary RCC_41","primary renal cell carcinoma","patient-derived xenograft"
"24","SRP063840","SRX1253786","patient, metastatic RCC_34","metastatic renal cell carcinoma","patient"
"25","SRP063840","SRX1253779","patient, metastatic RCC_27","metastatic renal cell carcinoma","patient"
"26","SRP063840","SRX1253675","PDX, metastatic RCC_8","metastatic renal cell carcinoma","patient-derived xenograft"
"27","SRP063840","SRX1253771","patient, metastatic RCC_19","metastatic renal cell carcinoma","patient"
"28","SRP063840","SRX1253767","patient, metastatic RCC_15","metastatic renal cell carcinoma","patient"
"29","SRP063840","SRX1253694","PDX, metastatic RCC_27","metastatic renal cell carcinoma","patient-derived xenograft"
"30","SRP063840","SRX1253686","PDX, metastatic RCC_19","metastatic renal cell carcinoma","patient-derived xenograft"
"31","SRP063840","SRX1253751","PDX, primary RCC_47","primary renal cell carcinoma","patient-derived xenograft"
"32","SRP063840","SRX1253711","PDX, primary RCC_7","primary renal cell carcinoma","patient-derived xenograft"
"33","SRP063840","SRX1253682","PDX, metastatic RCC_15","metastatic renal cell carcinoma","patient-derived xenograft"
"34","SRP063840","SRX1253788","patient, metastatic RCC_36","metastatic renal cell carcinoma","patient"
"35","SRP063840","SRX1253778","patient, metastatic RCC_26","metastatic renal cell carcinoma","patient"
"36","SRP063840","SRX1253671","PDX, metastatic RCC_4","metastatic renal cell carcinoma","patient-derived xenograft"
"37","SRP063840","SRX1253734","PDX, primary RCC_30","primary renal cell carcinoma","patient-derived xenograft"
"38","SRP063840","SRX1253701","PDX, metastatic RCC_34","metastatic renal cell carcinoma","patient-derived xenograft"
"39","SRP063840","SRX1253691","PDX, metastatic RCC_24","metastatic renal cell carcinoma","patient-derived xenograft"
"40","SRP063840","SRX1253684","PDX, metastatic RCC_17","metastatic renal cell carcinoma","patient-derived xenograft"
"41","SRP063840","SRX1253692","PDX, metastatic RCC_25","metastatic renal cell carcinoma","patient-derived xenograft"
"42","SRP063840","SRX1253685","PDX, metastatic RCC_18","metastatic renal cell carcinoma","patient-derived xenograft"
"43","SRP063840","SRX1253670","PDX, metastatic RCC_3","metastatic renal cell carcinoma","patient-derived xenograft"
"44","SRP063840","SRX1253765","patient, metastatic RCC_13","metastatic renal cell carcinoma","patient"
"45","SRP063840","SRX1253736","PDX, primary RCC_32","primary renal cell carcinoma","patient-derived xenograft"
"46","SRP063840","SRX1253774","patient, metastatic RCC_22","metastatic renal cell carcinoma","patient"
"47","SRP063840","SRX1253721","PDX, primary RCC_17","primary renal cell carcinoma","patient-derived xenograft"
"48","SRP063840","SRX1253683","PDX, metastatic RCC_16","metastatic renal cell carcinoma","patient-derived xenograft"
"49","SRP063840","SRX1253726","PDX, primary RCC_22","primary renal cell carcinoma","patient-derived xenograft"
"50","SRP063840","SRX1253712","PDX, primary RCC_8","primary renal cell carcinoma","patient-derived xenograft"
"51","SRP063840","SRX1253780","patient, metastatic RCC_28","metastatic renal cell carcinoma","patient"
"52","SRP063840","SRX1253710","PDX, primary RCC_6","primary renal cell carcinoma","patient-derived xenograft"
"53","SRP063840","SRX1253729","PDX, primary RCC_25","primary renal cell carcinoma","patient-derived xenograft"
"54","SRP063840","SRX1253703","PDX, metastatic RCC_36","metastatic renal cell carcinoma","patient-derived xenograft"
"55","SRP063840","SRX1253687","PDX, metastatic RCC_20","metastatic renal cell carcinoma","patient-derived xenograft"
"56","SRP063840","SRX1253700","PDX, metastatic RCC_33","metastatic renal cell carcinoma","patient-derived xenograft"
