"","study.accession","experiment.accession","source_name","data.subset","genotype.variation","tumor.status"
"1","SRP068970","SRX1549825","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"2","SRP068970","SRX1549623","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"3","SRP068970","SRX1549511","MDA_MB_231 Cells","Cell Population","CSL -/-","n/a"
"4","SRP068970","SRX1549596","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"5","SRP068970","SRX1549740","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"6","SRP068970","SRX1549771","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"7","SRP068970","SRX1549660","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"8","SRP068970","SRX1549507","MDA_MB_231 Cells","Cell Population","CSL -/-","n/a"
"9","SRP068970","SRX1549670","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"10","SRP068970","SRX1549849","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"11","SRP068970","SRX1549704","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"12","SRP068970","SRX1549487","Xenograft Tumor","Xenograft","CSL +/+","Late graft"
"13","SRP068970","SRX1549499","MDA_MB_231 Cells","Cell Population","CSL +/+","n/a"
"14","SRP068970","SRX1549494","Primary Culture from Xenograft Tumor","Cell Population","CSL +/+","n/a"
"15","SRP068970","SRX1549832","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"16","SRP068970","SRX1549593","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"17","SRP068970","SRX1549815","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"18","SRP068970","SRX1549625","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"19","SRP068970","SRX1549502","MDA_MB_231 Cells","Cell Population","CSL +/+","n/a"
"20","SRP068970","SRX1549515","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"21","SRP068970","SRX1549762","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"22","SRP068970","SRX1549728","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"23","SRP068970","SRX1549540","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"24","SRP068970","SRX1549824","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"25","SRP068970","SRX1549583","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"26","SRP068970","SRX1549513","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"27","SRP068970","SRX1549739","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"28","SRP068970","SRX1549603","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"29","SRP068970","SRX1549663","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"30","SRP068970","SRX1549544","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"31","SRP068970","SRX1549684","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"32","SRP068970","SRX1549826","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"33","SRP068970","SRX1549683","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"34","SRP068970","SRX1549794","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"35","SRP068970","SRX1549578","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"36","SRP068970","SRX1549523","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"37","SRP068970","SRX1549743","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"38","SRP068970","SRX1549718","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"39","SRP068970","SRX1549542","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"40","SRP068970","SRX1549686","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"41","SRP068970","SRX1549774","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"42","SRP068970","SRX1549883","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"43","SRP068970","SRX1549723","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"44","SRP068970","SRX1549655","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"45","SRP068970","SRX1549492","MDA_MB_231 Cells","Cell Population","CSL +/+","n/a"
"46","SRP068970","SRX1549786","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"47","SRP068970","SRX1549773","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"48","SRP068970","SRX1549642","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"49","SRP068970","SRX1549822","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"50","SRP068970","SRX1549753","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"51","SRP068970","SRX1549644","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"52","SRP068970","SRX1549529","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"53","SRP068970","SRX1549837","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"54","SRP068970","SRX1549857","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"55","SRP068970","SRX1549650","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"56","SRP068970","SRX1549804","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"57","SRP068970","SRX1549624","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"58","SRP068970","SRX1549546","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"59","SRP068970","SRX1549568","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"60","SRP068970","SRX1549579","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"61","SRP068970","SRX1549556","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"62","SRP068970","SRX1549821","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"63","SRP068970","SRX1549506","MDA_MB_231 Cells","Cell Population","CSL -/-","n/a"
"64","SRP068970","SRX1549627","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"65","SRP068970","SRX1549697","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"66","SRP068970","SRX1549886","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"67","SRP068970","SRX1549656","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"68","SRP068970","SRX1549514","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"69","SRP068970","SRX1549717","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"70","SRP068970","SRX1549880","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"71","SRP068970","SRX1549853","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"72","SRP068970","SRX1549589","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"73","SRP068970","SRX1549600","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"74","SRP068970","SRX1549750","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"75","SRP068970","SRX1549591","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"76","SRP068970","SRX1549830","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"77","SRP068970","SRX1549604","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"78","SRP068970","SRX1549834","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"79","SRP068970","SRX1549582","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"80","SRP068970","SRX1549738","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"81","SRP068970","SRX1549720","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"82","SRP068970","SRX1549783","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"83","SRP068970","SRX1549769","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"84","SRP068970","SRX1549486","Xenograft Tumor","Xenograft","CSL +/+","Late graft"
"85","SRP068970","SRX1549755","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"86","SRP068970","SRX1549872","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"87","SRP068970","SRX1549618","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"88","SRP068970","SRX1549590","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"89","SRP068970","SRX1549816","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"90","SRP068970","SRX1549741","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"91","SRP068970","SRX1549835","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"92","SRP068970","SRX1549570","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"93","SRP068970","SRX1549508","MDA_MB_231 Cells","Cell Population","CSL -/-","n/a"
"94","SRP068970","SRX1549873","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"95","SRP068970","SRX1549796","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"96","SRP068970","SRX1549798","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"97","SRP068970","SRX1549877","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"98","SRP068970","SRX1549543","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"99","SRP068970","SRX1549731","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"100","SRP068970","SRX1549833","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
