"","study.accession","experiment.accession","source_name"
"1","SRP073318","SRX1705376","SKBR3"
"2","SRP073318","SRX1705405","BT20"
"3","SRP073318","SRX1705364","MCF10A"
"4","SRP073318","SRX1705396","BT20"
"5","SRP073318","SRX1705321","MCF10A"
"6","SRP073318","SRX1705374","SKBR3"
"7","SRP073318","SRX1705349","SKBR3"
"8","SRP073318","SRX1705345","SKBR3"
"9","SRP073318","SRX1705355","SKBR3"
"10","SRP073318","SRX1705353","SKBR3"
"11","SRP073318","SRX1705338","MCF10A"
"12","SRP073318","SRX1705367","MCF10A"
"13","SRP073318","SRX1705399","BT20"
"14","SRP073318","SRX1705322","MCF10A"
"15","SRP073318","SRX1705323","MCF10A"
"16","SRP073318","SRX1705358","SKBR3"
"17","SRP073318","SRX1705378","SKBR3"
"18","SRP073318","SRX1705394","BT20"
"19","SRP073318","SRX1705372","SKBR3"
"20","SRP073318","SRX1705381","SKBR3"
"21","SRP073318","SRX1705380","SKBR3"
"22","SRP073318","SRX1705393","BT20"
"23","SRP073318","SRX1705361","MCF10A"
"24","SRP073318","SRX1705333","MCF10A"
"25","SRP073318","SRX1705406","BT20"
"26","SRP073318","SRX1705375","SKBR3"
"27","SRP073318","SRX1705389","BT20"
"28","SRP073318","SRX1705330","MCF10A"
"29","SRP073318","SRX1705385","BT20"
"30","SRP073318","SRX1705329","MCF10A"
"31","SRP073318","SRX1705404","BT20"
"32","SRP073318","SRX1705373","SKBR3"
"33","SRP073318","SRX1705402","BT20"
"34","SRP073318","SRX1705326","MCF10A"
"35","SRP073318","SRX1705331","MCF10A"
"36","SRP073318","SRX1705400","BT20"
"37","SRP073318","SRX1705391","BT20"
"38","SRP073318","SRX1705352","SKBR3"
"39","SRP073318","SRX1705344","SKBR3"
"40","SRP073318","SRX1705392","BT20"
"41","SRP073318","SRX1705346","SKBR3"
"42","SRP073318","SRX1705365","MCF10A"
"43","SRP073318","SRX1705369","SKBR3"
"44","SRP073318","SRX1705335","MCF10A"
"45","SRP073318","SRX1705388","BT20"
"46","SRP073318","SRX1705366","MCF10A"
"47","SRP073318","SRX1705397","BT20"
"48","SRP073318","SRX1705357","SKBR3"
"49","SRP073318","SRX1705354","SKBR3"
"50","SRP073318","SRX1705337","MCF10A"
"51","SRP073318","SRX1705383","BT20"
"52","SRP073318","SRX1705363","MCF10A"
"53","SRP073318","SRX1705334","MCF10A"
"54","SRP073318","SRX1705368","MCF10A"
"55","SRP073318","SRX1705398","BT20"
"56","SRP073318","SRX1705347","SKBR3"
"57","SRP073318","SRX1705386","BT20"
"58","SRP073318","SRX1705336","MCF10A"
"59","SRP073318","SRX1705359","MCF10A"
"60","SRP073318","SRX1705325","MCF10A"
"61","SRP073318","SRX1705332","MCF10A"
"62","SRP073318","SRX1705328","MCF10A"
"63","SRP073318","SRX1705395","BT20"
"64","SRP073318","SRX1705324","MCF10A"
"65","SRP073318","SRX1705382","SKBR3"
"66","SRP073318","SRX1705341","MCF10A"
"67","SRP073318","SRX1705387","BT20"
"68","SRP073318","SRX1705348","SKBR3"
"69","SRP073318","SRX1705401","BT20"
"70","SRP073318","SRX1705342","SKBR3"
"71","SRP073318","SRX1705379","SKBR3"
"72","SRP073318","SRX1705351","SKBR3"
"73","SRP073318","SRX1705356","SKBR3"
"74","SRP073318","SRX1705350","SKBR3"
"75","SRP073318","SRX1705339","MCF10A"
"76","SRP073318","SRX1705320","MCF10A"
"77","SRP073318","SRX1705370","SKBR3"
"78","SRP073318","SRX1705360","MCF10A"
"79","SRP073318","SRX1705390","BT20"
"80","SRP073318","SRX1705340","MCF10A"
"81","SRP073318","SRX1705327","MCF10A"
"82","SRP073318","SRX1705384","BT20"
"83","SRP073318","SRX1705362","MCF10A"
"84","SRP073318","SRX1705371","SKBR3"
"85","SRP073318","SRX1705403","BT20"
"86","SRP073318","SRX1705377","SKBR3"
"87","SRP073318","SRX1705343","SKBR3"
