"","study.accession","experiment.accession","source_name","model","cell.or.tumor.type","xenograft.or.pdx"
"1","SRP076716","SRX1853109","CTG-0771, Champions Oncology","CTG-0771, Champions Oncology","synovial sarcoma","PDX"
"2","SRP076716","SRX1853113","CTG-0771, Champions Oncology","CTG-0771, Champions Oncology","synovial sarcoma","PDX"
"3","SRP076716","SRX1853149","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"4","SRP076716","SRX1853146","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"5","SRP076716","SRX1853108","CTG-0771, Champions Oncology","CTG-0771, Champions Oncology","synovial sarcoma","PDX"
"6","SRP076716","SRX1853102","CTG-0331, Champions Oncology","CTG-0331, Champions Oncology","synovial sarcoma","PDX"
"7","SRP076716","SRX1853112","CTG-0771, Champions Oncology","CTG-0771, Champions Oncology","synovial sarcoma","PDX"
"8","SRP076716","SRX1853147","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"9","SRP076716","SRX1853138","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"10","SRP076716","SRX1853127","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"11","SRP076716","SRX1853111","CTG-0771, Champions Oncology","CTG-0771, Champions Oncology","synovial sarcoma","PDX"
"12","SRP076716","SRX1853120","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"13","SRP076716","SRX1853105","CTG-0331, Champions Oncology","CTG-0331, Champions Oncology","synovial sarcoma","PDX"
"14","SRP076716","SRX1853110","CTG-0771, Champions Oncology","CTG-0771, Champions Oncology","synovial sarcoma","PDX"
"15","SRP076716","SRX1853100","CTG-0331, Champions Oncology","CTG-0331, Champions Oncology","synovial sarcoma","PDX"
"16","SRP076716","SRX1853119","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"17","SRP076716","SRX1853144","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"18","SRP076716","SRX1853122","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"19","SRP076716","SRX1853128","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"20","SRP076716","SRX1853115","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"21","SRP076716","SRX1853114","CTG-0771, Champions Oncology","CTG-0771, Champions Oncology","synovial sarcoma","PDX"
"22","SRP076716","SRX1853135","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"23","SRP076716","SRX1853148","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"24","SRP076716","SRX1853130","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"25","SRP076716","SRX1853137","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"26","SRP076716","SRX1853141","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"27","SRP076716","SRX1853123","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"28","SRP076716","SRX1853132","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"29","SRP076716","SRX1853145","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"30","SRP076716","SRX1853136","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"31","SRP076716","SRX1853139","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"32","SRP076716","SRX1853099","CTG-0331, Champions Oncology","CTG-0331, Champions Oncology","synovial sarcoma","PDX"
"33","SRP076716","SRX1853124","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"34","SRP076716","SRX1853150","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"35","SRP076716","SRX1853129","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"36","SRP076716","SRX1853133","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"37","SRP076716","SRX1853152","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"38","SRP076716","SRX1853101","CTG-0331, Champions Oncology","CTG-0331, Champions Oncology","synovial sarcoma","PDX"
"39","SRP076716","SRX1853118","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"40","SRP076716","SRX1853126","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"41","SRP076716","SRX1853104","CTG-0331, Champions Oncology","CTG-0331, Champions Oncology","synovial sarcoma","PDX"
"42","SRP076716","SRX1853121","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
"43","SRP076716","SRX1853125","Fuji Xenograft model","Fuji Xenograft model","synovial sarcoma","xenograft"
