"","study.accession","experiment.accession","source_name","disease.status","tissue","sample.type"
"1","SRP078505","SRX1949039","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"2","SRP078505","SRX1949082","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"3","SRP078505","SRX1949023","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"4","SRP078505","SRX1949101","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"5","SRP078505","SRX1949088","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"6","SRP078505","SRX1949003","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"7","SRP078505","SRX1948971","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"8","SRP078505","SRX1949057","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"9","SRP078505","SRX1949080","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"10","SRP078505","SRX1948973","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"11","SRP078505","SRX1949006","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"12","SRP078505","SRX1949015","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"13","SRP078505","SRX1949110","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"14","SRP078505","SRX1948972","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"15","SRP078505","SRX1949005","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"16","SRP078505","SRX1949074","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"17","SRP078505","SRX1949022","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"18","SRP078505","SRX1949073","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"19","SRP078505","SRX1948979","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"20","SRP078505","SRX1949010","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"21","SRP078505","SRX1949000","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"22","SRP078505","SRX1949021","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"23","SRP078505","SRX1949045","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"24","SRP078505","SRX1949083","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"25","SRP078505","SRX1949084","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"26","SRP078505","SRX1949009","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"27","SRP078505","SRX1949066","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"28","SRP078505","SRX1949089","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"29","SRP078505","SRX1949087","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"30","SRP078505","SRX1949019","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"31","SRP078505","SRX1948984","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"32","SRP078505","SRX1948985","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"33","SRP078505","SRX1949118","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"34","SRP078505","SRX1949007","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"35","SRP078505","SRX1948988","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"36","SRP078505","SRX1948983","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"37","SRP078505","SRX1949098","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"38","SRP078505","SRX1949106","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"39","SRP078505","SRX1949105","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"40","SRP078505","SRX1949051","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"41","SRP078505","SRX1948992","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"42","SRP078505","SRX1949077","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"43","SRP078505","SRX1949016","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"44","SRP078505","SRX1949052","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"45","SRP078505","SRX1949108","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"46","SRP078505","SRX1949059","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"47","SRP078505","SRX1949001","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
"48","SRP078505","SRX1949086","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"49","SRP078505","SRX1949063","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"50","SRP078505","SRX1949100","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"51","SRP078505","SRX1949076","squamous cell carcinoma, metastatic tumor","squamous cell carcinoma","metastatic lymph node tumor","single cell"
"52","SRP078505","SRX1948991","squamous cell carcinoma, primary tumor","squamous cell carcinoma","primary tumor","single cell"
