"","study.accession","experiment.accession","source_name","tissue"
"1","SRP087576","SRX2146945","US-1493194","colon"
"2","SRP087576","SRX2146959","US-1494958","colon"
"3","SRP087576","SRX2146954","US-1493850","colon"
"4","SRP087576","SRX2146934","US-1493173","colon"
"5","SRP087576","SRX2146953","US-1493847","colon"
"6","SRP087576","SRX2146915","US-1492010","colon"
"7","SRP087576","SRX2146914","US-1492009","colon"
"8","SRP087576","SRX2146931","US-1492051","colon"
"9","SRP087576","SRX2146926","US-1492032","colon"
"10","SRP087576","SRX2146944","US-1493193","colon"
"11","SRP087576","SRX2146912","US-1492006","colon"
"12","SRP087576","SRX2146930","US-1492048","colon"
"13","SRP087576","SRX2146913","US-1492007","colon"
"14","SRP087576","SRX2146916","US-1492011","colon"
"15","SRP087576","SRX2146910","US-1492003","colon"
"16","SRP087576","SRX2146921","US-1492019","colon"
"17","SRP087576","SRX2146958","US-1493881","colon"
"18","SRP087576","SRX2146933","US-1493154","colon"
"19","SRP087576","SRX2146939","US-1493184","colon"
"20","SRP087576","SRX2146943","US-1493191","colon"
"21","SRP087576","SRX2146934","US-1493173","colon"
"22","SRP087576","SRX2146935","US-1493176","colon"
"23","SRP087576","SRX2146928","US-1492040","colon"
"24","SRP087576","SRX2146937","US-1493181","colon"
"25","SRP087576","SRX2146949","US-1493212","colon"
"26","SRP087576","SRX2146920","US-1492016","colon"
"27","SRP087576","SRX2146928","US-1492040","colon"
"28","SRP087576","SRX2146918","US-1492013","colon"
"29","SRP087576","SRX2146952","US-1493831","colon"
"30","SRP087576","SRX2146913","US-1492007","colon"
"31","SRP087576","SRX2146924","US-1492026","colon"
"32","SRP087576","SRX2146910","US-1492003","colon"
"33","SRP087576","SRX2146946","US-1493195","colon"
"34","SRP087576","SRX2146907","US-1491993","colon"
"35","SRP087576","SRX2146938","US-1493183","colon"
"36","SRP087576","SRX2146913","US-1492007","colon"
"37","SRP087576","SRX2146911","US-1492004","colon"
"38","SRP087576","SRX2146940","US-1493187","colon"
"39","SRP087576","SRX2146915","US-1492010","colon"
"40","SRP087576","SRX2146950","US-1493215","colon"
"41","SRP087576","SRX2146943","US-1493191","colon"
"42","SRP087576","SRX2146906","US-1491986","colon"
"43","SRP087576","SRX2146936","US-1493179","colon"
"44","SRP087576","SRX2146919","US-1492014","colon"
"45","SRP087576","SRX2146956","US-1493855","colon"
"46","SRP087576","SRX2146908","US-1491995","colon"
"47","SRP087576","SRX2146910","US-1492003","colon"
"48","SRP087576","SRX2146948","US-1493211","colon"
"49","SRP087576","SRX2146931","US-1492051","colon"
"50","SRP087576","SRX2146936","US-1493179","colon"
"51","SRP087576","SRX2146957","US-1493868","colon"
"52","SRP087576","SRX2146942","US-1493189","colon"
"53","SRP087576","SRX2146932","US-1492083","colon"
"54","SRP087576","SRX2146931","US-1492051","colon"
"55","SRP087576","SRX2146915","US-1492010","colon"
"56","SRP087576","SRX2146909","US-1491997","colon"
"57","SRP087576","SRX2146941","US-1493188","colon"
"58","SRP087576","SRX2146928","US-1492040","colon"
"59","SRP087576","SRX2146922","US-1492020","colon"
"60","SRP087576","SRX2146927","US-1492034","colon"
"61","SRP087576","SRX2146917","US-1492012","colon"
"62","SRP087576","SRX2146923","US-1492025","colon"
"63","SRP087576","SRX2146955","US-1493853","colon"
"64","SRP087576","SRX2146951","US-1493221","colon"
"65","SRP087576","SRX2146925","US-1492030","colon"
"66","SRP087576","SRX2146947","US-1493200","colon"
"67","SRP087576","SRX2146943","US-1493191","colon"
"68","SRP087576","SRX2146929","US-1492043","colon"
"69","SRP087576","SRX2146934","US-1493173","colon"
"70","SRP087576","SRX2146936","US-1493179","colon"
