"","study.accession","experiment.accession","source_name","cell.line","tissue","drug","concentration","treatment.duration"
"1","SRP092004","SRX2266632","Lung Adenocarcinoma","PC9","Lung","Erlotinib / THZ1","1 uM / 100nM","48h"
"2","SRP092004","SRX2266588","Lung Adenocarcinoma","A549","Lung","THZ1 / GSK1120212","150nM / 200 nM","48h"
"3","SRP092004","SRX2266651","Urinary bladder carcinoma","RT112","bladder","THZ1 / BGJ398","100nM / 1 uM","48h"
"4","SRP092004","SRX2266645","Lung Adenocarcinoma","PC9","Lung","THZ1","100nM","48h"
"5","SRP092004","SRX2266658","Urinary bladder carcinoma","RT112","bladder","THZ1","100nM","48h"
"6","SRP092004","SRX2266635","Lung Adenocarcinoma","PC9","Lung","DMSO","0.1%","48h"
"7","SRP092004","SRX2266629","Gastric Carcinoma","N87","Stomach","THZ1","25 nM","48h"
"8","SRP092004","SRX2266604","Lung Adenocarcinoma","H3122","Lung","Crizotinib","250nM","48h"
"9","SRP092004","SRX2266584","Melanoma","A375","Skin","Vemurafenib","1 uM","48h"
"10","SRP092004","SRX2266608","Lung Adenocarcinoma","H3122","Lung","DMSO","0.1%","48h"
"11","SRP092004","SRX2266652","Urinary bladder carcinoma","RT112","bladder","DMSO","0.1%","48h"
"12","SRP092004","SRX2266591","Lung Adenocarcinoma","A549","Lung","DMSO","0.1%","48h"
"13","SRP092004","SRX2266619","Gastric Carcinoma","N87","Stomach","DMSO","0.1%","48h"
"14","SRP092004","SRX2266603","Lung Adenocarcinoma","H3122","Lung","THZ1 / Crizotinib","50nM / 250nM","48h"
"15","SRP092004","SRX2266571","Melanoma","A375","Skin","Vemurafenib / THZ1","1 uM / 50 nM","48h"
"16","SRP092004","SRX2266644","Lung Adenocarcinoma","PC9","Lung","THZ1","100nM","48h"
"17","SRP092004","SRX2266634","Lung Adenocarcinoma","PC9","Lung","DMSO","0.1%","48h"
"18","SRP092004","SRX2266574","Melanoma","A375","Skin","DMSO","0.1%","48h"
"19","SRP092004","SRX2266587","Lung Adenocarcinoma","A549","Lung","THZ1 / GSK1120212","150nM / 200 nM","48h"
"20","SRP092004","SRX2266628","Gastric Carcinoma","N87","Stomach","THZ1","25 nM","48h"
"21","SRP092004","SRX2266596","Lung Adenocarcinoma","A549","Lung","GSK1120212","200 nM","48h"
"22","SRP092004","SRX2266593","Lung Adenocarcinoma","A549","Lung","GSK1120212","200 nM","48h"
"23","SRP092004","SRX2266577","Melanoma","A375","Skin","THZ1","50nM","48h"
"24","SRP092004","SRX2266624","Gastric Carcinoma","N87","Stomach","Lapatinib","100nM","48h"
"25","SRP092004","SRX2266649","Urinary bladder carcinoma","RT112","bladder","THZ1 / BGJ398","100nM / 1 uM","48h"
"26","SRP092004","SRX2266637","Lung Adenocarcinoma","PC9","Lung","Erlotinib","1 uM","48h"
"27","SRP092004","SRX2266633","Lung Adenocarcinoma","PC9","Lung","Erlotinib / THZ1","1 uM / 100nM","48h"
"28","SRP092004","SRX2266583","Melanoma","A375","Skin","Vemurafenib","1 uM","7D"
"29","SRP092004","SRX2266614","Lung Adenocarcinoma","H3122","Lung","THZ1","50nM","48h"
"30","SRP092004","SRX2266609","Lung Adenocarcinoma","H3122","Lung","DMSO","0.1%","48h"
"31","SRP092004","SRX2266639","Lung Adenocarcinoma","PC9","Lung","Erlotinib","1 uM","48h"
