"","study.accession","experiment.accession","source_name","cell.type","cell.subtype"
"1","SRP094414","SRX2388111","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"2","SRP094414","SRX2388114","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"3","SRP094414","SRX2388112","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"4","SRP094414","SRX2388116","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"5","SRP094414","SRX2388135","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"6","SRP094414","SRX2388118","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"7","SRP094414","SRX2388152","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"8","SRP094414","SRX2388153","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"9","SRP094414","SRX2388163","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"10","SRP094414","SRX2388118","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"11","SRP094414","SRX2388120","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"12","SRP094414","SRX2388120","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"13","SRP094414","SRX2388132","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"14","SRP094414","SRX2388102","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"15","SRP094414","SRX2388156","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"16","SRP094414","SRX2388143","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"17","SRP094414","SRX2388111","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"18","SRP094414","SRX2388127","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"19","SRP094414","SRX2388117","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"20","SRP094414","SRX2388105","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"21","SRP094414","SRX2388163","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"22","SRP094414","SRX2388113","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"23","SRP094414","SRX2388164","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"24","SRP094414","SRX2388110","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"25","SRP094414","SRX2388105","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"26","SRP094414","SRX2388107","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"27","SRP094414","SRX2388158","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"28","SRP094414","SRX2388140","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"29","SRP094414","SRX2388151","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"30","SRP094414","SRX2388144","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"31","SRP094414","SRX2388145","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"32","SRP094414","SRX2388119","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"33","SRP094414","SRX2388117","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"34","SRP094414","SRX2388115","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"35","SRP094414","SRX2388136","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"36","SRP094414","SRX2388114","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"37","SRP094414","SRX2388112","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"38","SRP094414","SRX2388149","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"39","SRP094414","SRX2388135","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"40","SRP094414","SRX2388124","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"41","SRP094414","SRX2388148","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"42","SRP094414","SRX2388163","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"43","SRP094414","SRX2388160","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"44","SRP094414","SRX2388122","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"45","SRP094414","SRX2388103","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"46","SRP094414","SRX2388156","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"47","SRP094414","SRX2388145","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"48","SRP094414","SRX2388150","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"49","SRP094414","SRX2388158","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"50","SRP094414","SRX2388106","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"51","SRP094414","SRX2388106","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"52","SRP094414","SRX2388153","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"53","SRP094414","SRX2388137","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"54","SRP094414","SRX2388148","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"55","SRP094414","SRX2388133","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"56","SRP094414","SRX2388129","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"57","SRP094414","SRX2388108","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"58","SRP094414","SRX2388159","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"59","SRP094414","SRX2388143","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"60","SRP094414","SRX2388140","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"61","SRP094414","SRX2388147","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"62","SRP094414","SRX2388126","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"63","SRP094414","SRX2388152","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"64","SRP094414","SRX2388133","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"65","SRP094414","SRX2388157","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"66","SRP094414","SRX2388131","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"67","SRP094414","SRX2388106","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"68","SRP094414","SRX2388122","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"69","SRP094414","SRX2388142","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"70","SRP094414","SRX2388142","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"71","SRP094414","SRX2388154","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"72","SRP094414","SRX2388157","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"73","SRP094414","SRX2388109","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"74","SRP094414","SRX2388119","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"75","SRP094414","SRX2388117","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"76","SRP094414","SRX2388154","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"77","SRP094414","SRX2388162","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"78","SRP094414","SRX2388142","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"79","SRP094414","SRX2388152","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"80","SRP094414","SRX2388155","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"81","SRP094414","SRX2388158","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"82","SRP094414","SRX2388155","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"83","SRP094414","SRX2388137","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"84","SRP094414","SRX2388134","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"85","SRP094414","SRX2388160","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"86","SRP094414","SRX2388128","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"87","SRP094414","SRX2388102","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"88","SRP094414","SRX2388150","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"89","SRP094414","SRX2388104","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"90","SRP094414","SRX2388107","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"91","SRP094414","SRX2388103","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"92","SRP094414","SRX2388123","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"93","SRP094414","SRX2388123","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"94","SRP094414","SRX2388145","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"95","SRP094414","SRX2388125","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"96","SRP094414","SRX2388124","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"97","SRP094414","SRX2388109","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"98","SRP094414","SRX2388145","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"99","SRP094414","SRX2388163","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"100","SRP094414","SRX2388168","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"101","SRP094414","SRX2388169","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"102","SRP094414","SRX2388135","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"103","SRP094414","SRX2388126","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"104","SRP094414","SRX2388134","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"105","SRP094414","SRX2388107","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"106","SRP094414","SRX2388150","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"107","SRP094414","SRX2388154","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"108","SRP094414","SRX2388125","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"109","SRP094414","SRX2388162","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"110","SRP094414","SRX2388156","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"111","SRP094414","SRX2388167","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"112","SRP094414","SRX2388161","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"113","SRP094414","SRX2388154","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"114","SRP094414","SRX2388126","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"115","SRP094414","SRX2388138","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"116","SRP094414","SRX2388166","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"117","SRP094414","SRX2388126","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"118","SRP094414","SRX2388161","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"119","SRP094414","SRX2388140","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"120","SRP094414","SRX2388165","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"121","SRP094414","SRX2388105","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"122","SRP094414","SRX2388156","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"123","SRP094414","SRX2388108","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"124","SRP094414","SRX2388141","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"125","SRP094414","SRX2388153","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"126","SRP094414","SRX2388102","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
