"","study.accession","experiment.accession","source_name","tissue","genotype"
"1","SRP095491","SRX2439435","KDM6A Mut","Urothelial Bladder Carcinoma","Mutant"
"2","SRP095491","SRX2439473","Ku1919 clone 2 GSK343","Urothelial Bladder Carcinoma Cell line","wildtype"
"3","SRP095491","SRX2439469","Ku1919 clone 1","Urothelial Bladder Carcinoma Cell line","wildtype"
"4","SRP095491","SRX2439444","RT4 control","Urothelial Bladder Carcinoma Cell line","wildtype"
"5","SRP095491","SRX2439468","Ku1919 parental","Urothelial Bladder Carcinoma Cell line","Mutant"
"6","SRP095491","SRX2439434","KDM6A Mut","Urothelial Bladder Carcinoma","Mutant"
"7","SRP095491","SRX2439440","KDM6A Mut","Urothelial Bladder Carcinoma","Mutant"
"8","SRP095491","SRX2439450","RT4 control","Urothelial Bladder Carcinoma Cell line","wildtype"
"9","SRP095491","SRX2439441","KDM6A Mut","Urothelial Bladder Carcinoma","Mutant"
"10","SRP095491","SRX2439451","RT4 control","Urothelial Bladder Carcinoma Cell line","wildtype"
"11","SRP095491","SRX2439438","KDM6A Mut","Urothelial Bladder Carcinoma","Mutant"
"12","SRP095491","SRX2439460","Ku1919 GSK343","Urothelial Bladder Carcinoma Cell line","Mutant"
"13","SRP095491","SRX2439431","KDM6A WT","Urothelial Bladder Carcinoma","wildtype"
"14","SRP095491","SRX2439430","KDM6A WT","Urothelial Bladder Carcinoma","wildtype"
"15","SRP095491","SRX2439458","Ku1919 control","Urothelial Bladder Carcinoma Cell line","Mutant"
"16","SRP095491","SRX2439465","Ku1919 GSK343","Urothelial Bladder Carcinoma Cell line","Mutant"
"17","SRP095491","SRX2439447","RT4 GSK343","Urothelial Bladder Carcinoma Cell line","wildtype"
"18","SRP095491","SRX2439437","KDM6A Mut","Urothelial Bladder Carcinoma","Mutant"
"19","SRP095491","SRX2439429","KDM6A WT","Urothelial Bladder Carcinoma","wildtype"
"20","SRP095491","SRX2439453","RT4 GSK343","Urothelial Bladder Carcinoma Cell line","wildtype"
"21","SRP095491","SRX2439461","Ku1919 GSK343","Urothelial Bladder Carcinoma Cell line","Mutant"
"22","SRP095491","SRX2439428","KDM6A WT","Urothelial Bladder Carcinoma","wildtype"
"23","SRP095491","SRX2439457","Ku1919 control","Urothelial Bladder Carcinoma Cell line","Mutant"
"24","SRP095491","SRX2439455","RT4 GSK343","Urothelial Bladder Carcinoma Cell line","wildtype"
"25","SRP095491","SRX2439449","RT4 GSK343","Urothelial Bladder Carcinoma Cell line","wildtype"
"26","SRP095491","SRX2439427","KDM6A WT","Urothelial Bladder Carcinoma","wildtype"
"27","SRP095491","SRX2439456","Ku1919 control","Urothelial Bladder Carcinoma Cell line","Mutant"
"28","SRP095491","SRX2439454","RT4 GSK343","Urothelial Bladder Carcinoma Cell line","wildtype"
"29","SRP095491","SRX2439452","RT4 control","Urothelial Bladder Carcinoma Cell line","wildtype"
"30","SRP095491","SRX2439470","Ku1919 clone 2","Urothelial Bladder Carcinoma Cell line","wildtype"
"31","SRP095491","SRX2439433","KDM6A WT","Urothelial Bladder Carcinoma","wildtype"
"32","SRP095491","SRX2439467","Ku1919 GSK343","Urothelial Bladder Carcinoma Cell line","Mutant"
"33","SRP095491","SRX2439466","Ku1919 GSK343","Urothelial Bladder Carcinoma Cell line","Mutant"
"34","SRP095491","SRX2439426","KDM6A WT","Urothelial Bladder Carcinoma","wildtype"
"35","SRP095491","SRX2439439","KDM6A Mut","Urothelial Bladder Carcinoma","Mutant"
"36","SRP095491","SRX2439436","KDM6A Mut","Urothelial Bladder Carcinoma","Mutant"
"37","SRP095491","SRX2439472","Ku1919 clone 1 GSK343","Urothelial Bladder Carcinoma Cell line","wildtype"
"38","SRP095491","SRX2439443","KDM6A Mut","Urothelial Bladder Carcinoma","Mutant"
"39","SRP095491","SRX2439448","RT4 GSK343","Urothelial Bladder Carcinoma Cell line","wildtype"
"40","SRP095491","SRX2439442","KDM6A Mut","Urothelial Bladder Carcinoma","Mutant"
"41","SRP095491","SRX2439459","Ku1919 GSK343","Urothelial Bladder Carcinoma Cell line","Mutant"
"42","SRP095491","SRX2439471","Ku1919 parental GSK343","Urothelial Bladder Carcinoma Cell line","Mutant"
"43","SRP095491","SRX2439445","RT4 control","Urothelial Bladder Carcinoma Cell line","wildtype"
"44","SRP095491","SRX2439432","KDM6A WT","Urothelial Bladder Carcinoma","wildtype"
"45","SRP095491","SRX2439424","KDM6A WT","Urothelial Bladder Carcinoma","wildtype"
"46","SRP095491","SRX2439425","KDM6A WT","Urothelial Bladder Carcinoma","wildtype"
"47","SRP095491","SRX2439464","Ku1919 control","Urothelial Bladder Carcinoma Cell line","Mutant"
"48","SRP095491","SRX2439446","RT4 control","Urothelial Bladder Carcinoma Cell line","wildtype"
"49","SRP095491","SRX2439462","Ku1919 control","Urothelial Bladder Carcinoma Cell line","Mutant"
"50","SRP095491","SRX2439463","Ku1919 control","Urothelial Bladder Carcinoma Cell line","Mutant"
