"","study.accession","experiment.accession","source_name","cell.type","cell.subtype...mutation","condition","treatment"
"1","SRP098916","SRX2539907","MCF7","MCF7","D538G","White Medium","Doxycycline"
"2","SRP098916","SRX2539895","MCF7","MCF7","Y537N","White Medium","Doxycycline + E2"
"3","SRP098916","SRX2539905","MCF7","MCF7","D538G","White Medium","none"
"4","SRP098916","SRX2539921","MCF7","MCF7","Y537N","White Medium","Doxycycline"
"5","SRP098916","SRX2539854","T47D","T47D","Y537S","White Medium","Doxycycline"
"6","SRP098916","SRX2539889","MCF7","MCF7","Y537N","White Medium","Doxycycline"
"7","SRP098916","SRX2539936","T47D","T47D","Y537S","White Medium","Doxycycline + E2"
"8","SRP098916","SRX2539912","MCF7","MCF7","D538G","White Medium","E2"
"9","SRP098916","SRX2539849","T47D","T47D","Y537S","Full Medium","none"
"10","SRP098916","SRX2539898","MCF7","MCF7","D538G","Full Medium","none"
"11","SRP098916","SRX2539896","MCF7","MCF7","Y537N","White Medium","Doxycycline + E2"
"12","SRP098916","SRX2539915","MCF7","MCF7","D538G","White Medium","Doxycycline + E2"
"13","SRP098916","SRX2539855","T47D","T47D","Y537S","White Medium","Doxycycline"
"14","SRP098916","SRX2539870","MCF7","MCF7","Y537S","White Medium","none"
"15","SRP098916","SRX2539902","MCF7","MCF7","D538G","Full Medium","none"
"16","SRP098916","SRX2539851","T47D","T47D","Y537S","White Medium","none"
"17","SRP098916","SRX2539891","MCF7","MCF7","Y537N","White Medium","Doxycycline"
"18","SRP098916","SRX2539893","MCF7","MCF7","Y537N","White Medium","E2"
"19","SRP098916","SRX2539876","MCF7","MCF7","Y537S","White Medium","E2"
"20","SRP098916","SRX2539859","T47D","T47D","Y537S","White Medium","Doxycycline + E2"
"21","SRP098916","SRX2539864","MCF7","MCF7","Y537S","Full Medium","none"
"22","SRP098916","SRX2539878","MCF7","MCF7","Y537S","White Medium","Doxycycline + E2"
"23","SRP098916","SRX2539913","MCF7","MCF7","D538G","White Medium","Doxycycline + E2"
"24","SRP098916","SRX2539877","MCF7","MCF7","Y537S","White Medium","Doxycycline + E2"
"25","SRP098916","SRX2539899","MCF7","MCF7","D538G","Full Medium","none"
"26","SRP098916","SRX2539923","MCF7","MCF7","Y537N","White Medium","Doxycycline + E2"
"27","SRP098916","SRX2539874","MCF7","MCF7","Y537S","White Medium","E2"
"28","SRP098916","SRX2539900","MCF7","MCF7","D538G","Full Medium","none"
"29","SRP098916","SRX2539848","T47D","T47D","Y537S","Full Medium","none"
"30","SRP098916","SRX2539930","MCF7","MCF7","Y537S","White Medium","Doxycycline"
"31","SRP098916","SRX2539934","T47D","T47D","Y537S","White Medium","E2"
"32","SRP098916","SRX2539868","MCF7","MCF7","Y537S","White Medium","none"
"33","SRP098916","SRX2539865","MCF7","MCF7","Y537S","Full Medium","none"
"34","SRP098916","SRX2539852","T47D","T47D","Y537S","White Medium","none"
"35","SRP098916","SRX2539866","MCF7","MCF7","Y537S","Full Medium","none"
"36","SRP098916","SRX2539861","T47D","T47D","Y537S","White Medium","Doxycycline + E2"
"37","SRP098916","SRX2539857","T47D","T47D","Y537S","White Medium","E2"
"38","SRP098916","SRX2539931","MCF7","MCF7","Y537S","White Medium","Doxycycline + E2"
"39","SRP098916","SRX2539881","MCF7","MCF7","Y537N","Full Medium","none"
"40","SRP098916","SRX2539929","MCF7","MCF7","Y537S","White Medium","Doxycycline"
"41","SRP098916","SRX2539873","MCF7","MCF7","Y537S","White Medium","Doxycycline"
"42","SRP098916","SRX2539885","MCF7","MCF7","Y537N","Full Medium","none"
"43","SRP098916","SRX2539910","MCF7","MCF7","D538G","White Medium","E2"
"44","SRP098916","SRX2539888","MCF7","MCF7","Y537N","White Medium","none"
"45","SRP098916","SRX2539909","MCF7","MCF7","D538G","White Medium","Doxycycline"
"46","SRP098916","SRX2539928","MCF7","MCF7","Y537S","White Medium","Doxycycline"
"47","SRP098916","SRX2693221","MCF7","MCF7","Y537S","White Medium","none"
"48","SRP098916","SRX2539847","T47D","T47D","Y537S","Full Medium","none"
