"","study.accession","experiment.accession","source_name","cell.line","cell.type","drug","concentration"
"1","SRP107198","SRX2831615","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405840","10 nM"
"2","SRP107198","SRX2831589","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"3","SRP107198","SRX2831607","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","DMSO vehicle","0.01%"
"4","SRP107198","SRX2831526","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"5","SRP107198","SRX2831567","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"6","SRP107198","SRX2831510","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","DMSO vehicle","0.01%"
"7","SRP107198","SRX2831566","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"8","SRP107198","SRX2831582","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405840","10 nM"
"9","SRP107198","SRX2831516","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405840","10 nM"
"10","SRP107198","SRX2831636","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"11","SRP107198","SRX2831587","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405845","1000 nM"
"12","SRP107198","SRX2831662","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"13","SRP107198","SRX2831554","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405845","1000 nM"
"14","SRP107198","SRX2831674","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","DMSO vehicle","0.01%"
"15","SRP107198","SRX2831596","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"16","SRP107198","SRX2831517","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405841","100 nM"
"17","SRP107198","SRX2831539","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"18","SRP107198","SRX2831675","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","DMSO vehicle","0.01%"
"19","SRP107198","SRX2831597","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"20","SRP107198","SRX2831555","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405846","1000 nM"
"21","SRP107198","SRX2831669","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"22","SRP107198","SRX2831483","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405840","10 nM"
"23","SRP107198","SRX2831528","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"24","SRP107198","SRX2831629","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"25","SRP107198","SRX2831495","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
