"","study.accession","experiment.accession","isolate","age","biomaterial_provider","sex","tissue","sample_type","filename","md5_checksum","BioSampleModel"
"1","SRP108709","SRX2887265","4_12G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12G_L001_R1_001.fastq.gz","5095688bed2a573c0e7502847b77e015","Human"
"2","SRP108709","SRX2887295","4_7G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7G_L001_R1_001.fastq.gz","f7dbaf92bef506bac5bf9f9c5c2a562a","Human"
"3","SRP108709","SRX2887359","2_10F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10F_L001_R1_001.fastq.gz","75d2eb65bf0bfafec7992cdcefcbd844","Human"
"4","SRP108709","SRX2887322","2_7F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_7F_L002_R1_001.fastq.gz","25b2c08ce9d01661ffc4ac0acab88796","Human"
"5","SRP108709","SRX2887339","4_2B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2B_L001_R1_001.fastq.gz","ce2f432c7fb19a9827ad4aed376fe446","Human"
"6","SRP108709","SRX2887397","2_10B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10B_L001_R1_001.fastq.gz","b233f41f403838957074e60264c3e21f","Human"
"7","SRP108709","SRX2887287","1_4EF_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_4EF_L008_R1_001.fastq.gz","a8c7f6b62befb066ddad7ee77734d45e","Human"
"8","SRP108709","SRX2887523","4_9B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9B_L001_R1_001.fastq.gz","e4fa0855d8133d5af40c0b320f20ba4c","Human"
"9","SRP108709","SRX2887381","4_4E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4E_L002_R1_001.fastq.gz","5a70b7722f14b26a38a63ffddbc5c6e4","Human"
"10","SRP108709","SRX2887382","4_4D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4D_L001_R1_001.fastq.gz","39e2f9d4545baf4c33a143e95a36ba0c","Human"
"11","SRP108709","SRX2887250","4_5H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5H_L002_R1_001.fastq.gz","dbea113e76efdf2dd539c235a2ce11a5","Human"
