"","study.accession","experiment.accession","isolate","age","biomaterial_provider","sex","tissue","cell_line","BioSampleModel"
"1","SRP125154","SRX3402123","T47D_3h_2C1","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"2","SRP125154","SRX3402046","T47D_6h_2A1","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"3","SRP125154","SRX3402043","T47D_6h_2A5","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"4","SRP125154","SRX3402121","T47D_3h_2B8","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"5","SRP125154","SRX3402067","T47D_0h_F11","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"6","SRP125154","SRX3402061","T47D_6h_2G10","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"7","SRP125154","SRX3402114","T47D_3h_2A7","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"8","SRP125154","SRX3402096","T47D_12h_C12","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"9","SRP125154","SRX3402054","T47D_3h_2E12","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"10","SRP125154","SRX3402130","T47D_12h_G5","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"11","SRP125154","SRX3402056","T47D_3h_2F11","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"12","SRP125154","SRX3402062","T47D_6h_2H1","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"13","SRP125154","SRX3402099","T47D_12h_B7","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"14","SRP125154","SRX3402065","T47D_0h_G3","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"15","SRP125154","SRX3402063","T47D_6h_2G6","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"16","SRP125154","SRX3402079","T47D_6h_2E11","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"17","SRP125154","SRX3402118","T47D_3h_2B7","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"18","SRP125154","SRX3402087","T47D_0h_B4","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"19","SRP125154","SRX3402041","T47D_6h_2B4","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"20","SRP125154","SRX3402055","T47D_3h_2E9","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"21","SRP125154","SRX3402053","T47D_3h_2E1","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"22","SRP125154","SRX3402092","T47D_0h_B2","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"23","SRP125154","SRX3402091","T47D_0h_A10","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"24","SRP125154","SRX3402038","T47D_6h_2C6","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"25","SRP125154","SRX3402044","T47D_6h_2A4","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"26","SRP125154","SRX3402100","T47D_12h_D2","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"27","SRP125154","SRX3402098","T47D_12h_C1","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"28","SRP125154","SRX3402071","T47D_0h_E11","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"29","SRP125154","SRX3402132","T47D_12h_H7","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"30","SRP125154","SRX3402080","T47D_6h_2D4","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"31","SRP125154","SRX3402084","T47D_0h_E1","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"32","SRP125154","SRX3402070","T47D_0h_E12","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"33","SRP125154","SRX3402127","T47D_12h_F2","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"34","SRP125154","SRX3402049","T47D_3h_2H6","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"35","SRP125154","SRX3402113","T47D_12h_B5","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"36","SRP125154","SRX3402076","T47D_6h_2E2","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"37","SRP125154","SRX3402069","T47D_0h_F8","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"38","SRP125154","SRX3402090","T47D_0h_A5","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"39","SRP125154","SRX3402094","T47D_12h_E7","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"40","SRP125154","SRX3402057","T47D_3h_2G1","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"41","SRP125154","SRX3402039","T47D_6h_2C4","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"42","SRP125154","SRX3402117","T47D_3h_2B11","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"43","SRP125154","SRX3402119","T47D_3h_2B6","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"44","SRP125154","SRX3402081","T47D_6h_2D7","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"45","SRP125154","SRX3402045","T47D_6h_2A10","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"46","SRP125154","SRX3402074","T47D_6h_2F1","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"47","SRP125154","SRX3402073","T47D_0h_E9","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"48","SRP125154","SRX3402066","T47D_0h_F7","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"49","SRP125154","SRX3402133","T47D_12h_population","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"50","SRP125154","SRX3402107","T47D_12h_A9","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"51","SRP125154","SRX3402115","T47D_3h_2A2","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"52","SRP125154","SRX3402122","T47D_3h_2C3","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"53","SRP125154","SRX3402112","T47D_12h_B12","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"54","SRP125154","SRX3402128","T47D_12h_H12","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"55","SRP125154","SRX3402052","T47D_3h_2D9","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"56","SRP125154","SRX3402102","T47D_12h_C8","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"57","SRP125154","SRX3402075","T47D_6h_2F2","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"58","SRP125154","SRX3402051","T47D_3h_2D6","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"59","SRP125154","SRX3402125","T47D_12h_G10","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"60","SRP125154","SRX3402089","T47D_0h_C6","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"61","SRP125154","SRX3402047","T47D_3h_population","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"62","SRP125154","SRX3402120","T47D_3h_2B9","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"63","SRP125154","SRX3402101","T47D_12h_D1","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"64","SRP125154","SRX3402110","T47D_0h_H5","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"65","SRP125154","SRX3402064","T47D_0h_G9","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"66","SRP125154","SRX3402086","T47D_0h_C2","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"67","SRP125154","SRX3402048","T47D_3h_2H3","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"68","SRP125154","SRX3402095","T47D_12h_D8","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"69","SRP125154","SRX3402068","T47D_0h_G12","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"70","SRP125154","SRX3402106","T47D_12h_A3","NA","Edwin CHEUNG","female","breast","T-47D","Human"
