"","study.accession","experiment.accession","sample_name","sample.comment"
"1","DRP001358","DRX013692","DRS013438","LC2ad_023"
"2","DRP001358","DRX013611","DRS013357","LC2ad-R_012"
"3","DRP001358","DRX013798","DRS013544","LC2ad_van_028"
"4","DRP001358","DRX013639","DRS013385","LC2ad-R_040"
"5","DRP001358","DRX013714","DRS013460","LC2ad-R_van_002"
"6","DRP001358","DRX013688","DRS013434","LC2ad_019"
"7","DRP001358","DRX013878","DRS013624","LMD_034"
"8","DRP001358","DRX013867","DRS013613","LMD_023"
"9","DRP001358","DRX013839","DRS013585","PC9_041"
"10","DRP001358","DRX013769","DRS013515","LC2ad-R_van_057"
"11","DRP001358","DRX013669","DRS013415","LC2ad-R_070"
"12","DRP001358","DRX013804","DRS013550","PC9_006"
"13","DRP001358","DRX013842","DRS013588","PC9_044"
"14","DRP001358","DRX013724","DRS013470","LC2ad-R_van_012"
"15","DRP001358","DRX013637","DRS013383","LC2ad-R_038"
"16","DRP001358","DRX013621","DRS013367","LC2ad-R_022"
"17","DRP001358","DRX013926","DRS013672","LC2ad_replicate_036"
"18","DRP001358","DRX013803","DRS013549","PC9_005"
"19","DRP001358","DRX013736","DRS013482","LC2ad-R_van_024"
"20","DRP001358","DRX013834","DRS013580","PC9_036"
"21","DRP001358","DRX013806","DRS013552","PC9_008"
"22","DRP001358","DRX013899","DRS013645","LC2ad_replicate_009"
"23","DRP001358","DRX013744","DRS013490","LC2ad-R_van_032"
"24","DRP001358","DRX013609","DRS013355","LC2ad-R_010"
"25","DRP001358","DRX013911","DRS013657","LC2ad_replicate_021"
"26","DRP001358","DRX013649","DRS013395","LC2ad-R_050"
"27","DRP001358","DRX013874","DRS013620","LMD_030"
"28","DRP001358","DRX013651","DRS013397","LC2ad-R_052"
"29","DRP001358","DRX013673","DRS013419","LC2ad_004"
"30","DRP001358","DRX013850","DRS013596","LMD_006"
"31","DRP001358","DRX013901","DRS013647","LC2ad_replicate_011"
"32","DRP001358","DRX013710","DRS013456","LC2ad_041"
"33","DRP001358","DRX013605","DRS013351","LC2ad-R_006"
"34","DRP001358","DRX013807","DRS013553","PC9_009"
"35","DRP001358","DRX013734","DRS013480","LC2ad-R_van_022"
"36","DRP001358","DRX013606","DRS013352","LC2ad-R_007"
"37","DRP001358","DRX013864","DRS013610","LMD_020"
"38","DRP001358","DRX013652","DRS013398","LC2ad-R_053"
"39","DRP001358","DRX013817","DRS013563","PC9_019"
"40","DRP001358","DRX013640","DRS013386","LC2ad-R_041"
"41","DRP001358","DRX013661","DRS013407","LC2ad-R_062"
"42","DRP001358","DRX013825","DRS013571","PC9_027"
"43","DRP001358","DRX013642","DRS013388","LC2ad-R_043"
"44","DRP001358","DRX013890","DRS013636","LMD_046"
"45","DRP001358","DRX013822","DRS013568","PC9_024"
"46","DRP001358","DRX013909","DRS013655","LC2ad_replicate_019"
"47","DRP001358","DRX013628","DRS013374","LC2ad-R_029"
"48","DRP001358","DRX013617","DRS013363","LC2ad-R_018"
"49","DRP001358","DRX013891","DRS013637","LC2ad_replicate_001"
"50","DRP001358","DRX013919","DRS013665","LC2ad_replicate_029"
"51","DRP001358","DRX013719","DRS013465","LC2ad-R_van_007"
"52","DRP001358","DRX013697","DRS013443","LC2ad_028"
