"","study.accession","experiment.accession","ArrayExpress.CellType","ArrayExpress.Species","ENA.FIRST.PUBLIC","ENA.LAST.UPDATE"
"1","ERP012527","ERX1346648","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"2","ERP012527","ERX1346689","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"3","ERP012527","ERX1346606","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"4","ERP012527","ERX1346930","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"5","ERP012527","ERX1346614","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"6","ERP012527","ERX1346977","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"7","ERP012527","ERX1346955","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"8","ERP012527","ERX1346893","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"9","ERP012527","ERX1346830","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"10","ERP012527","ERX1346601","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"11","ERP012527","ERX1346763","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"12","ERP012527","ERX1346735","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"13","ERP012527","ERX1346928","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"14","ERP012527","ERX1346641","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"15","ERP012527","ERX1346744","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"16","ERP012527","ERX1346667","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"17","ERP012527","ERX1346868","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"18","ERP012527","ERX1346875","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"19","ERP012527","ERX1346832","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"20","ERP012527","ERX1346628","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"21","ERP012527","ERX1346980","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"22","ERP012527","ERX1346891","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"23","ERP012527","ERX1346822","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"24","ERP012527","ERX1346965","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"25","ERP012527","ERX1346807","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"26","ERP012527","ERX1346957","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"27","ERP012527","ERX1346609","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"28","ERP012527","ERX1346730","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"29","ERP012527","ERX1346621","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"30","ERP012527","ERX1346967","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"31","ERP012527","ERX1346857","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"32","ERP012527","ERX1346856","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"33","ERP012527","ERX1346962","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"34","ERP012527","ERX1346903","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"35","ERP012527","ERX1346761","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"36","ERP012527","ERX1346694","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"37","ERP012527","ERX1346847","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"38","ERP012527","ERX1346958","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"39","ERP012527","ERX1346947","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"40","ERP012527","ERX1346894","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"41","ERP012527","ERX1346937","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"42","ERP012527","ERX1346905","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"43","ERP012527","ERX1346785","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"44","ERP012527","ERX1346765","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"45","ERP012527","ERX1346925","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"46","ERP012527","ERX1346813","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"47","ERP012527","ERX1346814","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"48","ERP012527","ERX1346827","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"49","ERP012527","ERX1346721","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"50","ERP012527","ERX1346630","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"51","ERP012527","ERX1346682","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"52","ERP012527","ERX1346883","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"53","ERP012527","ERX1346831","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"54","ERP012527","ERX1346797","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"55","ERP012527","ERX1346865","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"56","ERP012527","ERX1346951","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"57","ERP012527","ERX1346867","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"58","ERP012527","ERX1346789","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"59","ERP012527","ERX1346792","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"60","ERP012527","ERX1346877","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"61","ERP012527","ERX1346705","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"62","ERP012527","ERX1346805","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"63","ERP012527","ERX1346964","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"64","ERP012527","ERX1346661","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"65","ERP012527","ERX1346665","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"66","ERP012527","ERX1346836","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"67","ERP012527","ERX1346820","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"68","ERP012527","ERX1346677","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"69","ERP012527","ERX1346671","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"70","ERP012527","ERX1346748","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"71","ERP012527","ERX1346912","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"72","ERP012527","ERX1346673","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"73","ERP012527","ERX1346852","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"74","ERP012527","ERX1346898","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"75","ERP012527","ERX1346806","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"76","ERP012527","ERX1346834","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"77","ERP012527","ERX1346669","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"78","ERP012527","ERX1346750","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"79","ERP012527","ERX1346635","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"80","ERP012527","ERX1346943","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"81","ERP012527","ERX1346678","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"82","ERP012527","ERX1346605","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"83","ERP012527","ERX1346644","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
