"","study.accession","experiment.accession","source_name","strain","tissue"
"1","SRP072302","SRX1660811","breast cancer cell line","MCF7 cells","breast"
"2","SRP072302","SRX1660707","breast cancer cell line","BT549 cells","breast"
"3","SRP072302","SRX1660815","breast cancer cell line","MCF7 cells","breast"
"4","SRP072302","SRX1660731","breast cancer cell line","MDAMB231 cells","breast"
"5","SRP072302","SRX1660810","breast cancer cell line","MCF7 cells","breast"
"6","SRP072302","SRX1660789","breast cancer cell line","T47D cells","breast"
"7","SRP072302","SRX1660801","breast cancer cell line","MCF7 cells","breast"
"8","SRP072302","SRX1660769","breast cancer cell line","T47D cells","breast"
"9","SRP072302","SRX1660806","breast cancer cell line","MCF7 cells","breast"
"10","SRP072302","SRX1660755","breast cancer cell line","MDAMB231 cells","breast"
"11","SRP072302","SRX1660706","breast cancer cell line","BT549 cells","breast"
"12","SRP072302","SRX1660792","breast cancer cell line","MCF7 cells","breast"
"13","SRP072302","SRX1660787","breast cancer cell line","T47D cells","breast"
"14","SRP072302","SRX1660719","breast cancer cell line","BT549 cells","breast"
"15","SRP072302","SRX1660798","breast cancer cell line","MCF7 cells","breast"
"16","SRP072302","SRX1660770","breast cancer cell line","T47D cells","breast"
"17","SRP072302","SRX1660724","breast cancer cell line","BT549 cells","breast"
"18","SRP072302","SRX1660758","breast cancer cell line","MDAMB231 cells","breast"
"19","SRP072302","SRX1660739","breast cancer cell line","MDAMB231 cells","breast"
"20","SRP072302","SRX1660808","breast cancer cell line","MCF7 cells","breast"
"21","SRP072302","SRX1660816","breast cancer cell line","MCF7 cells","breast"
"22","SRP072302","SRX1660695","breast cancer cell line","BT549 cells","breast"
"23","SRP072302","SRX1660807","breast cancer cell line","MCF7 cells","breast"
"24","SRP072302","SRX1660809","breast cancer cell line","MCF7 cells","breast"
"25","SRP072302","SRX1660815","breast cancer cell line","MCF7 cells","breast"
"26","SRP072302","SRX1660700","breast cancer cell line","BT549 cells","breast"
"27","SRP072302","SRX1660756","breast cancer cell line","MDAMB231 cells","breast"
"28","SRP072302","SRX1660793","breast cancer cell line","MCF7 cells","breast"
"29","SRP072302","SRX1660703","breast cancer cell line","BT549 cells","breast"
"30","SRP072302","SRX1660745","breast cancer cell line","MDAMB231 cells","breast"
"31","SRP072302","SRX1660759","breast cancer cell line","T47D cells","breast"
"32","SRP072302","SRX1660820","breast cancer cell line","MCF7 cells","breast"
"33","SRP072302","SRX1660802","breast cancer cell line","MCF7 cells","breast"
"34","SRP072302","SRX1660726","breast cancer cell line","BT549 cells","breast"
"35","SRP072302","SRX1660796","breast cancer cell line","MCF7 cells","breast"
"36","SRP072302","SRX1660750","breast cancer cell line","MDAMB231 cells","breast"
"37","SRP072302","SRX1660746","breast cancer cell line","MDAMB231 cells","breast"
"38","SRP072302","SRX1660778","breast cancer cell line","T47D cells","breast"
"39","SRP072302","SRX1660728","breast cancer cell line","MDAMB231 cells","breast"
"40","SRP072302","SRX1660819","breast cancer cell line","MCF7 cells","breast"
"41","SRP072302","SRX1660788","breast cancer cell line","T47D cells","breast"
"42","SRP072302","SRX1660723","breast cancer cell line","BT549 cells","breast"
"43","SRP072302","SRX1660696","breast cancer cell line","BT549 cells","breast"
