"","study.accession","experiment.accession","Sample.Name"
"1","ERP012979","ERX1589854","ERS1237030"
"2","ERP012979","ERX1589839","ERS1237015"
"3","ERP012979","ERX1589644","ERS1236820"
"4","ERP012979","ERX1589865","ERS1237041"
"5","ERP012979","ERX1589655","ERS1236831"
"6","ERP012979","ERX1589751","ERS1236927"
"7","ERP012979","ERX1589723","ERS1236899"
"8","ERP012979","ERX1589775","ERS1236951"
"9","ERP012979","ERX1589656","ERS1236832"
"10","ERP012979","ERX1589628","ERS1236804"
"11","ERP012979","ERX1589653","ERS1236829"
"12","ERP012979","ERX1589763","ERS1236939"
"13","ERP012979","ERX1589793","ERS1236969"
"14","ERP012979","ERX1589621","ERS1236797"
"15","ERP012979","ERX1589722","ERS1236898"
"16","ERP012979","ERX1589770","ERS1236946"
"17","ERP012979","ERX1589773","ERS1236949"
"18","ERP012979","ERX1589607","ERS1236783"
"19","ERP012979","ERX1589630","ERS1236806"
"20","ERP012979","ERX1589726","ERS1236902"
"21","ERP012979","ERX1589823","ERS1236999"
"22","ERP012979","ERX1589813","ERS1236989"
"23","ERP012979","ERX1589703","ERS1236879"
"24","ERP012979","ERX1589851","ERS1237027"
"25","ERP012979","ERX1589739","ERS1236915"
"26","ERP012979","ERX1589725","ERS1236901"
"27","ERP012979","ERX1589731","ERS1236907"
"28","ERP012979","ERX1589721","ERS1236897"
"29","ERP012979","ERX1589824","ERS1237000"
"30","ERP012979","ERX1589608","ERS1236784"
"31","ERP012979","ERX1589684","ERS1236860"
"32","ERP012979","ERX1589685","ERS1236861"
"33","ERP012979","ERX1589666","ERS1236842"
"34","ERP012979","ERX1589695","ERS1236871"
"35","ERP012979","ERX1589828","ERS1237004"
"36","ERP012979","ERX1589812","ERS1236988"
"37","ERP012979","ERX1589820","ERS1236996"
"38","ERP012979","ERX1589848","ERS1237024"
"39","ERP012979","ERX1589790","ERS1236966"
"40","ERP012979","ERX1589677","ERS1236853"
"41","ERP012979","ERX1589689","ERS1236865"
"42","ERP012979","ERX1589711","ERS1236887"
"43","ERP012979","ERX1589801","ERS1236977"
"44","ERP012979","ERX1589826","ERS1237002"
"45","ERP012979","ERX1589860","ERS1237036"
"46","ERP012979","ERX1589774","ERS1236950"
"47","ERP012979","ERX1589810","ERS1236986"
"48","ERP012979","ERX1589716","ERS1236892"
"49","ERP012979","ERX1589757","ERS1236933"
"50","ERP012979","ERX1589815","ERS1236991"
"51","ERP012979","ERX1589704","ERS1236880"
"52","ERP012979","ERX1589782","ERS1236958"
"53","ERP012979","ERX1589765","ERS1236941"
"54","ERP012979","ERX1589623","ERS1236799"
"55","ERP012979","ERX1589850","ERS1237026"
"56","ERP012979","ERX1589633","ERS1236809"
"57","ERP012979","ERX1589637","ERS1236813"
"58","ERP012979","ERX1589671","ERS1236847"
"59","ERP012979","ERX1589738","ERS1236914"
"60","ERP012979","ERX1589762","ERS1236938"
"61","ERP012979","ERX1589714","ERS1236890"
"62","ERP012979","ERX1589753","ERS1236929"
"63","ERP012979","ERX1589742","ERS1236918"
"64","ERP012979","ERX1589845","ERS1237021"
"65","ERP012979","ERX1589841","ERS1237017"
"66","ERP012979","ERX1589734","ERS1236910"
"67","ERP012979","ERX1589616","ERS1236792"
"68","ERP012979","ERX1589859","ERS1237035"
"69","ERP012979","ERX1589649","ERS1236825"
"70","ERP012979","ERX1589795","ERS1236971"
"71","ERP012979","ERX1589687","ERS1236863"
"72","ERP012979","ERX1589727","ERS1236903"
"73","ERP012979","ERX1589809","ERS1236985"
"74","ERP012979","ERX1589681","ERS1236857"
"75","ERP012979","ERX1589613","ERS1236789"
"76","ERP012979","ERX1589660","ERS1236836"
"77","ERP012979","ERX1589609","ERS1236785"
"78","ERP012979","ERX1589709","ERS1236885"
"79","ERP012979","ERX1589686","ERS1236862"
"80","ERP012979","ERX1589803","ERS1236979"
"81","ERP012979","ERX1589614","ERS1236790"
"82","ERP012979","ERX1589750","ERS1236926"
"83","ERP012979","ERX1589816","ERS1236992"
"84","ERP012979","ERX1589664","ERS1236840"
"85","ERP012979","ERX1589817","ERS1236993"
"86","ERP012979","ERX1589800","ERS1236976"
"87","ERP012979","ERX1589631","ERS1236807"
"88","ERP012979","ERX1589831","ERS1237007"
"89","ERP012979","ERX1589837","ERS1237013"
"90","ERP012979","ERX1589811","ERS1236987"
"91","ERP012979","ERX1589789","ERS1236965"
"92","ERP012979","ERX1589819","ERS1236995"
"93","ERP012979","ERX1589864","ERS1237040"
"94","ERP012979","ERX1589690","ERS1236866"
"95","ERP012979","ERX1589846","ERS1237022"
"96","ERP012979","ERX1589648","ERS1236824"
"97","ERP012979","ERX1589836","ERS1237012"
"98","ERP012979","ERX1589818","ERS1236994"
"99","ERP012979","ERX1589784","ERS1236960"
"100","ERP012979","ERX1589733","ERS1236909"
"101","ERP012979","ERX1589617","ERS1236793"
"102","ERP012979","ERX1589829","ERS1237005"
"103","ERP012979","ERX1589802","ERS1236978"
"104","ERP012979","ERX1589771","ERS1236947"
"105","ERP012979","ERX1589855","ERS1237031"
"106","ERP012979","ERX1589705","ERS1236881"
"107","ERP012979","ERX1589840","ERS1237016"
"108","ERP012979","ERX1589668","ERS1236844"
"109","ERP012979","ERX1589737","ERS1236913"
"110","ERP012979","ERX1589838","ERS1237014"
"111","ERP012979","ERX1589611","ERS1236787"
"112","ERP012979","ERX1589625","ERS1236801"
"113","ERP012979","ERX1589788","ERS1236964"
"114","ERP012979","ERX1589606","ERS1236782"
"115","ERP012979","ERX1589698","ERS1236874"
"116","ERP012979","ERX1589626","ERS1236802"
"117","ERP012979","ERX1589759","ERS1236935"
"118","ERP012979","ERX1589754","ERS1236930"
"119","ERP012979","ERX1589661","ERS1236837"
"120","ERP012979","ERX1589827","ERS1237003"
"121","ERP012979","ERX1589821","ERS1236997"
"122","ERP012979","ERX1589678","ERS1236854"
"123","ERP012979","ERX1589663","ERS1236839"
"124","ERP012979","ERX1589787","ERS1236963"
"125","ERP012979","ERX1589741","ERS1236917"
"126","ERP012979","ERX1589844","ERS1237020"
"127","ERP012979","ERX1589843","ERS1237019"
"128","ERP012979","ERX1589639","ERS1236815"
"129","ERP012979","ERX1589646","ERS1236822"
"130","ERP012979","ERX1589610","ERS1236786"
"131","ERP012979","ERX1589632","ERS1236808"
"132","ERP012979","ERX1589691","ERS1236867"
"133","ERP012979","ERX1589728","ERS1236904"
"134","ERP012979","ERX1589781","ERS1236957"
"135","ERP012979","ERX1589667","ERS1236843"
"136","ERP012979","ERX1589712","ERS1236888"
"137","ERP012979","ERX1589641","ERS1236817"
"138","ERP012979","ERX1589852","ERS1237028"
"139","ERP012979","ERX1589760","ERS1236936"
"140","ERP012979","ERX1589799","ERS1236975"
"141","ERP012979","ERX1589702","ERS1236878"
"142","ERP012979","ERX1589670","ERS1236846"
"143","ERP012979","ERX1589761","ERS1236937"
"144","ERP012979","ERX1589700","ERS1236876"
"145","ERP012979","ERX1589806","ERS1236982"
"146","ERP012979","ERX1589778","ERS1236954"
"147","ERP012979","ERX1589857","ERS1237033"
"148","ERP012979","ERX1589767","ERS1236943"
"149","ERP012979","ERX1589647","ERS1236823"
"150","ERP012979","ERX1589735","ERS1236911"
"151","ERP012979","ERX1589791","ERS1236967"
"152","ERP012979","ERX1589683","ERS1236859"
"153","ERP012979","ERX1589682","ERS1236858"
"154","ERP012979","ERX1589643","ERS1236819"
"155","ERP012979","ERX1589807","ERS1236983"
"156","ERP012979","ERX1589805","ERS1236981"
"157","ERP012979","ERX1589745","ERS1236921"
"158","ERP012979","ERX1589847","ERS1237023"
"159","ERP012979","ERX1589748","ERS1236924"
"160","ERP012979","ERX1589654","ERS1236830"
"161","ERP012979","ERX1589635","ERS1236811"
"162","ERP012979","ERX1589662","ERS1236838"
"163","ERP012979","ERX1589747","ERS1236923"
"164","ERP012979","ERX1589679","ERS1236855"
"165","ERP012979","ERX1589696","ERS1236872"
"166","ERP012979","ERX1589673","ERS1236849"
"167","ERP012979","ERX1589786","ERS1236962"
"168","ERP012979","ERX1589842","ERS1237018"
"169","ERP012979","ERX1589665","ERS1236841"
"170","ERP012979","ERX1589779","ERS1236955"
"171","ERP012979","ERX1589764","ERS1236940"
"172","ERP012979","ERX1589652","ERS1236828"
"173","ERP012979","ERX1589730","ERS1236906"
"174","ERP012979","ERX1589830","ERS1237006"
"175","ERP012979","ERX1589707","ERS1236883"
"176","ERP012979","ERX1589638","ERS1236814"
"177","ERP012979","ERX1589634","ERS1236810"
"178","ERP012979","ERX1589619","ERS1236795"
"179","ERP012979","ERX1589732","ERS1236908"
"180","ERP012979","ERX1589740","ERS1236916"
"181","ERP012979","ERX1589708","ERS1236884"
"182","ERP012979","ERX1589856","ERS1237032"
"183","ERP012979","ERX1589642","ERS1236818"
"184","ERP012979","ERX1589701","ERS1236877"
"185","ERP012979","ERX1589699","ERS1236875"
"186","ERP012979","ERX1589658","ERS1236834"
"187","ERP012979","ERX1589694","ERS1236870"
"188","ERP012979","ERX1589688","ERS1236864"
"189","ERP012979","ERX1589785","ERS1236961"
"190","ERP012979","ERX1589729","ERS1236905"
"191","ERP012979","ERX1589620","ERS1236796"
"192","ERP012979","ERX1589814","ERS1236990"
"193","ERP012979","ERX1583557","ERS1229617"
"194","ERP012979","ERX1589804","ERS1236980"
"195","ERP012979","ERX1589833","ERS1237009"
"196","ERP012979","ERX1589627","ERS1236803"
"197","ERP012979","ERX1589706","ERS1236882"
"198","ERP012979","ERX1589618","ERS1236794"
"199","ERP012979","ERX1589718","ERS1236894"
"200","ERP012979","ERX1589863","ERS1237039"
"201","ERP012979","ERX1589794","ERS1236970"
"202","ERP012979","ERX1589798","ERS1236974"
"203","ERP012979","ERX1589645","ERS1236821"
"204","ERP012979","ERX1589669","ERS1236845"
"205","ERP012979","ERX1589719","ERS1236895"
"206","ERP012979","ERX1589825","ERS1237001"
"207","ERP012979","ERX1589834","ERS1237010"
"208","ERP012979","ERX1589797","ERS1236973"
"209","ERP012979","ERX1589612","ERS1236788"
"210","ERP012979","ERX1589624","ERS1236800"
"211","ERP012979","ERX1589713","ERS1236889"
"212","ERP012979","ERX1589736","ERS1236912"
"213","ERP012979","ERX1589853","ERS1237029"
"214","ERP012979","ERX1589849","ERS1237025"
"215","ERP012979","ERX1589832","ERS1237008"
"216","ERP012979","ERX1589715","ERS1236891"
"217","ERP012979","ERX1589674","ERS1236850"
"218","ERP012979","ERX1589749","ERS1236925"
"219","ERP012979","ERX1589636","ERS1236812"
"220","ERP012979","ERX1589780","ERS1236956"
"221","ERP012979","ERX1589743","ERS1236919"
"222","ERP012979","ERX1589693","ERS1236869"
"223","ERP012979","ERX1589710","ERS1236886"
"224","ERP012979","ERX1589768","ERS1236944"
"225","ERP012979","ERX1589659","ERS1236835"
"226","ERP012979","ERX1589796","ERS1236972"
"227","ERP012979","ERX1589680","ERS1236856"
"228","ERP012979","ERX1589772","ERS1236948"
"229","ERP012979","ERX1589766","ERS1236942"
"230","ERP012979","ERX1589651","ERS1236827"
"231","ERP012979","ERX1589776","ERS1236952"
"232","ERP012979","ERX1589629","ERS1236805"
"233","ERP012979","ERX1589697","ERS1236873"
"234","ERP012979","ERX1589605","ERS1236781"
"235","ERP012979","ERX1589822","ERS1236998"
"236","ERP012979","ERX1589676","ERS1236852"
"237","ERP012979","ERX1589808","ERS1236984"
"238","ERP012979","ERX1589675","ERS1236851"
"239","ERP012979","ERX1589755","ERS1236931"
"240","ERP012979","ERX1589657","ERS1236833"
"241","ERP012979","ERX1589746","ERS1236922"
"242","ERP012979","ERX1589758","ERS1236934"
"243","ERP012979","ERX1589783","ERS1236959"
"244","ERP012979","ERX1589720","ERS1236896"
"245","ERP012979","ERX1589744","ERS1236920"
"246","ERP012979","ERX1589752","ERS1236928"
"247","ERP012979","ERX1589792","ERS1236968"
"248","ERP012979","ERX1589724","ERS1236900"
"249","ERP012979","ERX1589650","ERS1236826"
"250","ERP012979","ERX1589769","ERS1236945"
"251","ERP012979","ERX1589777","ERS1236953"
"252","ERP012979","ERX1589672","ERS1236848"
"253","ERP012979","ERX1589861","ERS1237037"
"254","ERP012979","ERX1589756","ERS1236932"
"255","ERP012979","ERX1589835","ERS1237011"
"256","ERP012979","ERX1589862","ERS1237038"
"257","ERP012979","ERX1589692","ERS1236868"
"258","ERP012979","ERX1589615","ERS1236791"
"259","ERP012979","ERX1589622","ERS1236798"
"260","ERP012979","ERX1589858","ERS1237034"
"261","ERP012979","ERX1589717","ERS1236893"
"262","ERP012979","ERX1589640","ERS1236816"
