"","study.accession","experiment.accession","source_name","tissue","tissue.archive.method","cell.line","cell.type","development.stage","disease.status"
"1","SRP006575","SRX059671","Ewing's sarcoma","Ewing's sarcoma","FFPE",NA,NA,NA,NA
"2","SRP006575","SRX059687","Gastrointestinal stromal tumor","gastrointestinal stromal tumor","FFPE",NA,NA,NA,NA
"3","SRP006575","SRX059678","Synovial sarcoma","synovial sarcoma","FFPE",NA,NA,NA,NA
"4","SRP006575","SRX059668","Ewing's sarcoma","Ewing's sarcoma","FFPE",NA,NA,NA,NA
"5","SRP006575","SRX059658","Papillary urothelial carcinoma","papillary urothelial carcinoma","FFPE",NA,NA,NA,NA
"6","SRP006575","SRX059667","Endometrial stromal sarcoma","endometrial stromal sarcoma","FFPE",NA,NA,NA,NA
"7","SRP006575","SRX059639","Lung adenocarcinoma","lung adenocarcinoma","FFPE",NA,NA,NA,NA
"8","SRP006575","SRX059693","Leiomyosarcoma","leiomyosarcoma","FFPE",NA,NA,NA,NA
"9","SRP006575","SRX176118","Breast cancer cell line",NA,NA,"SUM 44PE","breast cancer cells",NA,NA
"10","SRP006575","SRX059674","Extraskeletal myxoid chondrosarcoma","extraskeletal myxoid chondrosarcoma","FFPE",NA,NA,NA,NA
"11","SRP006575","SRX059685","Gastrointestinal stromal tumor","gastrointestinal stromal tumor","FFPE",NA,NA,NA,NA
"12","SRP006575","SRX059684","Myxoid liposarcoma","myxoid liposarcoma","FFPE",NA,NA,NA,NA
"13","SRP006575","SRX059673","Extraskeletal myxoid chondrosarcoma","extraskeletal myxoid chondrosarcoma","FFPE",NA,NA,NA,NA
"14","SRP006575","SRX176088","Adult normal breast","breast","FFPE",NA,NA,"adult","normal"
"15","SRP006575","SRX176094","Adult normal lung","lung","FFPE",NA,NA,"adult","normal"
"16","SRP006575","SRX059642","Colon adenocarcinoma","colon adenocarcinoma","FFPE",NA,NA,NA,NA
"17","SRP006575","SRX059677","Synovial sarcoma","synovial sarcoma","FFPE",NA,NA,NA,NA
"18","SRP006575","SRX059669","Ewing's sarcoma","Ewing's sarcoma","FFPE",NA,NA,NA,NA
"19","SRP006575","SRX176108","Fetal normal lung 13wks","lung","FFPE",NA,NA,"fetal, 13wks","normal"
"20","SRP006575","SRX059647","Prostate adenocarcinoma","prostate adenocarcinoma","FFPE",NA,NA,NA,NA
"21","SRP006575","SRX059643","Colon adenocarcinoma","colon adenocarcinoma","FFPE",NA,NA,NA,NA
"22","SRP006575","SRX176105","Fetal normal lung","lung","FFPE",NA,NA,"fetal","normal"
"23","SRP006575","SRX059666","Endometrial stromal sarcoma","endometrial stromal sarcoma","FFPE",NA,NA,NA,NA
"24","SRP006575","SRX059661","Nasopharyngeal carcinoma","nasopharyngeal carcinoma","FFPE",NA,NA,NA,NA
"25","SRP006575","SRX059654","Skin squamous cell carcinoma","skin squamous cell carcinoma","FFPE",NA,NA,NA,NA
"26","SRP006575","SRX059649","Head and neck squamous cell carcinoma","head and neck squamous cell carcinoma","FFPE",NA,NA,NA,NA
